DATE,SMA,EMA,MACD,RSI,ADX
2019-02-15,76.4030,75.6975,0.4142,39.4897,26.7903
2019-02-14,76.6352,76.1107,0.6392,42.2506,26.8892
2019-02-13,76.7417,76.4842,0.8567,58.1293,26.9990
2019-02-12,76.5617,76.3696,0.8602,54.5395,28.7109
2019-02-11,76.5097,76.3628,0.9132,54.5395,31.6039
2019-02-08,76.4813,76.3545,0.9677,50.1801,34.8183
2019-02-07,76.4679,76.5124,1.1000,58.7164,38.4789
2019-02-06,76.1852,76.4224,1.1233,74.1633,41.8705
2019-02-05,75.7712,75.9274,0.9603,68.6855,40.4856
2019-02-04,75.3872,75.6068,0.8686,68.7881,38.9468
2019-02-01,75.0222,75.2128,0.7379,62.6683,38.3008
2019-01-31,74.7792,75.0023,0.6846,58.6953,38.9418
2019-01-30,74.5987,74.8928,0.6742,56.8624,39.6540
2019-01-29,74.4809,74.8246,0.6813,62.6279,41.6769
2019-01-28,74.3629,74.5901,0.6111,64.6807,40.1812
2019-01-25,74.3163,74.2508,0.4886,61.7901,38.5193
2019-01-24,74.2853,73.9710,0.3869,53.8271,37.2061
2019-01-23,74.5863,73.9446,0.3960,56.9886,35.7470
2019-01-22,74.7623,73.8190,0.3592,50.9371,35.0457
2019-01-18,74.7843,73.8832,0.4067,52.2883,34.2664
2019-01-17,74.7303,73.9172,0.4410,52.2883,34.4289
2019-01-16,74.5087,73.9588,0.4784,52.0824,34.6095
2019-01-15,74.0997,74.0185,0.5233,53.8213,34.8387
2019-01-14,73.6864,74.0176,0.5390,57.3281,35.0934
2019-01-11,73.1144,73.8660,0.4824,62.4661,33.9611
2019-01-10,72.4494,73.4695,0.3063,60.9750,32.7030
2019-01-09,71.7682,73.0850,0.1229,71.8163,30.0462
2019-01-08,70.8882,72.1928,-0.3064,69.6981,26.9221
2019-01-07,70.1822,71.2867,-0.7653,61.8668,23.7085
2019-01-04,69.8322,70.7393,-1.0834,59.7883,20.4372
2019-01-03,69.6662,70.1947,-1.4166,52.8686,16.9474
2019-01-02,69.7358,69.9015,-1.6507,42.7415,14.9358
2018-12-31,70.1558,69.9685,-1.7305,44.0316,14.0489
2018-12-28,70.3668,69.9860,-1.8368,38.8159,13.0634
2018-12-27,70.6738,70.2095,-1.8531,38.8876,14.0911
2018-12-26,71.2668,70.4783,-1.8490,35.6102,15.5549
2018-12-24,71.5853,70.9430,-1.7544,35.1631,17.1813
2018-12-21,71.6983,71.5303,-1.5993,37.6071,17.6851
2018-12-20,71.9400,72.0459,-1.4708,40.5027,18.5288
2018-12-19,72.1500,72.4450,-1.3912,44.2791,17.8632
2018-12-18,72.4475,72.6483,-1.3997,46.3452,17.1440
2018-12-17,72.6945,72.7457,-1.4594,51.3914,18.5398
2018-12-14,72.7975,72.5114,-1.6763,45.3260,20.0907
2018-12-13,72.7985,72.6251,-1.7454,45.4678,20.5019
2018-12-12,72.8365,72.7529,-1.8134,54.2719,21.3617
2018-12-11,72.6785,72.2691,-2.1671,42.6155,23.7272
2018-12-10,72.7412,72.4238,-2.2451,32.7686,22.7722
2018-12-07,72.8402,73.0890,-2.0939,38.9307,21.5145
2018-12-06,72.8185,73.4140,-2.0941,41.2291,21.5692
2018-12-04,72.5595,73.6505,-2.1375,48.9811,20.7947
2018-12-03,72.2380,73.4606,-2.3812,49.6635,21.0804
2018-11-30,71.9770,73.1896,-2.6755,50.2032,23.3300
2018-11-29,71.7008,72.8251,-3.0274,38.9864,25.8294
2018-11-28,71.9468,73.0062,-3.1455,40.2002,27.2236
2018-11-27,72.1468,73.1343,-3.2932,42.8289,29.0895
2018-11-26,72.8118,73.0863,-3.5275,38.2892,30.6210
2018-11-23,73.6598,73.2833,-3.6582,30.6141,32.7324
2018-11-21,74.6860,73.9196,-3.5905,32.6465,32.2450
2018-11-20,76.0100,74.4773,-3.5527,25.1974,31.7421
2018-11-19,77.1370,75.5256,-3.2848,27.7595,29.4442
2018-11-16,78.0200,76.4668,-3.0509,29.1180,27.5476
2018-11-15,78.7430,77.4439,-2.7873,29.1100,25.6061
2018-11-14,79.4119,78.6385,-2.4101,33.1581,23.4957
2018-11-13,79.8649,79.5648,-2.1382,33.0185,21.5875
2018-11-12,80.0467,80.7059,-1.7560,44.7252,20.1020
2018-11-09,79.8467,80.8628,-1.8097,46.5381,19.9298
2018-11-08,79.3267,80.9034,-1.9212,46.5419,21.3637
2018-11-07,78.8566,80.9527,-2.0358,57.5750,22.9579
2018-11-06,78.3356,80.1311,-2.5564,47.3232,23.5684
2018-11-05,78.0176,79.9313,-2.8152,44.2768,25.6335
2018-11-02,78.8688,79.8894,-3.0118,41.5347,28.0358
2018-11-01,79.9130,80.0204,-3.1356,39.7699,29.3235
2018-10-31,81.0627,80.3010,-3.1926,40.2588,30.7544
2018-10-30,82.2107,80.5901,-3.2437,31.6811,30.3656
2018-10-29,83.5516,81.5550,-2.9815,34.5210,29.2164
2018-10-26,84.6776,82.3450,-2.7819,25.9252,28.3887
2018-10-25,85.9811,83.8706,-2.2301,26.5475,25.1788
2018-10-24,87.4691,85.6241,-1.5442,31.2141,21.6124
2018-10-23,88.2141,86.9983,-0.9987,25.8212,18.4544
2018-10-22,88.8791,89.0312,-0.1259,49.5139,15.1358
2018-10-19,88.6958,89.1199,-0.1079,54.1098,16.0622
2018-10-18,88.3597,88.9817,-0.1964,56.2870,16.4524
2018-10-17,88.1342,88.6988,-0.3587,57.1945,16.8859
2018-10-16,87.6362,88.3029,-0.5835,54.7951,17.5772
2018-10-15,87.2405,88.0020,-0.7782,53.6676,17.9973
2018-10-12,87.1257,87.7225,-0.9750,51.6286,18.4641
2018-10-11,87.1477,87.5465,-1.1361,58.9781,20.3752
2018-10-10,87.1647,86.8101,-1.5640,47.6191,20.2713
2018-10-09,87.4147,86.7924,-1.6831,38.3735,20.1559
2018-10-08,87.8893,87.3018,-1.5674,45.2985,19.1998
2018-10-05,88.1783,87.4133,-1.6310,43.6265,18.9155
2018-10-04,88.4133,87.6429,-1.6458,48.8050,19.1298
2018-10-03,88.6638,87.5636,-1.8056,38.6988,20.0813
2018-10-02,88.7256,88.0222,-1.7289,39.2567,21.1385
2018-10-01,88.6066,88.5382,-1.6261,46.5401,20.7288
2018-09-28,88.2644,88.6329,-1.7168,48.6378,21.2753
2018-09-27,87.7409,88.6102,-1.8711,57.1829,23.1491
2018-09-26,86.8569,88.0725,-2.2745,51.7286,24.4380
2018-09-25,86.0679,87.7797,-2.5892,51.2377,26.4878
2018-09-24,85.3637,87.4539,-2.9387,52.7256,29.1674
2018-09-21,84.8469,86.9570,-3.3872,49.8943,31.7512
2018-09-20,84.3819,86.5630,-3.8126,55.4173,34.6221
2018-09-19,84.2784,85.6870,-4.4809,40.8516,37.5798
2018-09-18,84.8507,85.5913,-4.8219,33.7101,38.9498
2018-09-17,85.6747,85.8316,-5.0234,34.1253,40.2922
2018-09-14,86.6067,86.0853,-5.2259,28.9155,41.5185
2018-09-13,87.8107,86.6598,-5.2871,22.8721,41.8623
2018-09-12,89.1797,87.6531,-5.1549,19.6332,40.2788
2018-09-11,90.6518,89.0204,-4.8410,20.4207,37.6239
2018-09-10,92.0274,90.5352,-4.4416,23.1758,34.6740
2018-09-07,93.0801,91.8713,-4.1033,21.3532,32.1076
2018-09-06,94.2371,93.6028,-3.5668,28.8592,29.2561
2018-09-05,94.9901,94.5211,-3.3788,33.5225,27.0671
2018-09-04,95.1901,95.1170,-3.3311,35.5050,25.9607
2018-08-31,95.1891,95.6429,-3.3145,38.3299,25.4732
2018-08-30,94.7821,96.0058,-3.3733,41.9802,25.5974
2018-08-29,93.8636,96.1093,-3.5550,42.7953,26.4349
2018-08-28,93.6086,96.1603,-3.7699,43.5587,27.9707
2018-08-27,93.7365,96.1468,-4.0241,42.8565,29.4321
2018-08-24,93.7755,96.1883,-4.2634,40.5350,30.7330
2018-08-23,94.9705,96.4413,-4.4142,41.5363,31.8290
2018-08-22,96.5055,96.6171,-4.6035,43.7235,33.2396
2018-08-21,97.9555,96.5320,-4.9157,36.7017,34.8822
2018-08-20,99.3285,97.1303,-4.9209,34.1267,35.8957
2018-08-17,100.8115,98.1059,-4.7439,27.3568,35.3139
2018-08-16,102.5815,99.9205,-4.1640,17.5981,33.8333
2018-08-15,104.7100,102.9351,-2.9982,23.0110,30.0053
2018-08-14,106.3240,105.0695,-2.1768,27.5745,26.6822
2018-08-13,107.9110,106.7517,-1.5212,23.8249,23.7557
