DATE,HT_TRENDLINE,ADOSC,HT_DCPHASE,MAMA,T3
2019-02-15,75.9409,-317.8850,238.4999,88.9148,76.8647
2019-02-14,75.9183,343.5625,223.4355,89.0671,76.9482
2019-02-13,75.8720,1884.0868,215.1667,89.2150,76.9271
2019-02-12,75.7386,4790.9048,206.7809,89.3384,76.8251
2019-02-11,75.6316,4851.4811,199.5565,89.4690,76.6914
2019-02-08,75.4707,3921.4495,189.6026,89.6011,76.5066
2019-02-07,75.3123,776.6058,179.2353,89.7420,76.2690
2019-02-06,75.1489,1877.4086,170.2442,89.8716,75.9840
2019-02-05,75.0229,1145.7249,146.8198,89.9849,75.7098
2019-02-04,74.9486,-897.4410,128.9116,90.1124,75.4934
2019-02-01,74.8844,-905.1929,108.5643,90.2410,75.3148
2019-01-31,74.7524,-1211.2971,86.7317,90.3832,75.1719
2019-01-30,74.5084,-1690.3748,9.5404,90.5336,75.0370
2019-01-29,74.2163,-2244.7037,300.2244,90.6885,74.9009
2019-01-28,73.8970,-2402.3450,275.3944,90.8380,74.7711
2019-01-25,73.6106,-2253.8361,260.1730,90.9867,74.6712
2019-01-24,73.3601,-2923.1870,247.4242,91.1431,74.6004
2019-01-23,73.1832,-3909.7809,242.6486,91.3153,74.5271
2019-01-22,72.9178,-4610.2814,229.8850,91.4851,74.4078
2019-01-18,72.7041,-5298.1089,217.2231,91.6664,74.2300
2019-01-17,72.5317,-5966.2826,210.2709,91.8476,73.9563
2019-01-16,72.2774,-6273.7553,196.7820,92.0306,73.5785
2019-01-15,72.0609,-5631.1874,189.0768,92.2159,73.0906
2019-01-14,71.7617,-3400.9797,174.4834,92.3997,72.5000
2019-01-11,71.4722,-3503.6990,158.3161,92.5784,71.8404
2019-01-10,71.1947,-4111.7462,150.0491,92.7494,71.1686
2019-01-09,70.9472,-5545.3624,130.5340,92.9267,70.5534
2019-01-08,70.7610,-6356.1755,107.7949,93.0866,70.0509
2019-01-07,70.7063,-8874.0129,81.3067,93.2564,69.7468
2019-01-04,70.7358,-10452.2622,46.4822,93.4535,69.6420
2019-01-03,70.8072,-12006.4856,24.6208,93.6581,69.6986
2019-01-02,70.9065,-13321.8366,2.1933,93.8818,69.9028
2018-12-31,71.1123,-13576.7309,-19.7115,94.1271,70.2036
2018-12-28,71.4286,-11182.7546,-28.9141,94.3719,70.5496
2018-12-27,71.8232,-8977.8178,-22.1368,94.6284,70.9246
2018-12-26,72.1029,-5143.4572,-17.0947,94.8873,71.2817
2018-12-24,72.3084,-4822.4475,-16.4069,95.1549,71.5870
2018-12-21,72.4510,-5284.0103,-12.8572,95.4262,71.7975
2018-12-20,72.4788,-4511.6059,-24.1997,95.6910,71.8966
2018-12-19,72.4118,-3929.6741,290.7849,95.9480,71.9018
2018-12-18,72.3421,-3306.9135,271.5160,96.1946,71.8442
2018-12-17,72.3089,-3689.5178,253.8098,96.4369,71.7640
2018-12-14,72.2849,-3804.8800,235.7309,96.6656,71.6916
2018-12-13,72.3122,-4002.3147,208.3774,96.9147,71.6553
2018-12-12,72.4113,-4713.9742,164.4520,97.1659,71.6205
2018-12-11,72.5279,-5948.9253,157.9589,97.3905,71.6040
2018-12-10,72.8327,-5275.0445,118.1442,97.6513,71.6360
2018-12-07,73.2260,-5612.6335,95.2844,97.9363,71.6146
2018-12-06,73.4732,-5364.6876,89.8135,98.2021,71.5097
2018-12-04,73.8302,-4708.7983,73.8801,98.4632,71.4000
2018-12-03,74.1405,-5121.2250,59.7306,98.7052,71.3487
2018-11-30,74.4667,-5219.9958,53.1686,98.9479,71.4404
2018-11-29,75.0313,-4606.4771,40.7906,99.1915,71.7036
2018-11-28,75.5489,-3874.6008,27.3817,99.4661,72.1409
2018-11-27,76.0172,-2835.0139,13.1410,99.7392,72.7034
2018-11-26,76.4603,-154.7806,-8.6304,100.0057,73.4096
2018-11-23,76.8343,-996.6148,-23.2385,100.2866,74.2574
2018-11-21,77.1826,-2143.8506,-38.8801,100.5883,75.1776
2018-11-20,77.5371,-4471.7936,304.3759,100.8830,76.0889
2018-11-19,77.8752,-4617.3411,285.4921,101.1974,76.9492
2018-11-16,78.2669,-4854.0456,262.8939,101.4995,77.6715
2018-11-15,78.7991,-4578.7574,227.7883,101.7967,78.2365
2018-11-14,79.4255,-4393.3293,169.7978,102.0970,78.6111
2018-11-13,80.2072,-5064.7407,122.0909,102.3761,78.7744
2018-11-12,80.8689,-5096.4419,97.5374,102.6584,78.7758
2018-11-09,81.3248,-3815.8355,79.3220,102.8872,78.6687
2018-11-08,81.6849,-4404.6120,63.1380,103.1116,78.6221
2018-11-07,81.9548,-4865.0408,55.6193,103.3381,78.7019
2018-11-06,82.4115,-4909.4132,39.4497,103.5269,78.9799
2018-11-05,82.9700,-3926.8984,25.1639,103.7541,79.5576
2018-11-02,83.5326,-574.7736,11.1471,103.9929,80.3633
2018-11-01,84.1088,-1231.6301,-2.3549,104.2423,81.3745
2018-10-31,84.5995,-2563.5837,-17.2146,104.4997,82.5549
2018-10-30,85.1123,-2846.4518,-32.8433,104.7573,83.8528
2018-10-29,85.7356,-3458.3621,311.6285,105.0453,85.1929
2018-10-26,86.3285,-3619.3957,293.6907,105.3184,86.4344
2018-10-25,86.9728,-3564.1678,266.3782,105.6198,87.4996
2018-10-24,87.5192,-3196.3512,232.0626,105.9192,88.2361
2018-10-23,87.9695,-3319.2678,186.0727,106.1867,88.5970
2018-10-22,88.2943,-5457.7098,135.6154,106.4729,88.6167
2018-10-19,88.2992,-6870.5214,115.6550,106.6531,88.3284
2018-10-18,88.2653,-8034.2783,95.5220,106.8240,88.0067
2018-10-17,88.1982,-8398.2888,74.3513,106.9913,87.7018
2018-10-16,88.0825,-7270.8176,39.2132,107.1581,87.4489
2018-10-15,87.8540,-6543.0943,2.2887,107.3349,87.2683
2018-10-12,87.5914,-2323.9720,-34.7040,107.5175,87.1572
2018-10-11,87.3294,9578.4319,297.6548,107.7094,87.1200
2018-10-10,87.0340,7617.6503,276.7371,107.8796,87.1568
2018-10-09,86.8069,7399.1508,259.3137,108.0916,87.2798
2018-10-08,86.6241,6387.4518,243.1895,108.3299,87.3613
2018-10-05,86.4974,3000.5316,217.3156,108.5474,87.3419
2018-10-04,86.5720,3918.4868,196.8753,108.7713,87.2546
2018-10-03,86.7965,4734.9357,171.3679,108.9811,87.0756
2018-10-02,87.0812,4907.7919,144.5175,109.2183,86.8026
2018-10-01,87.3208,4667.4866,121.5010,109.4559,86.3705
2018-09-28,87.4998,4400.0765,101.9921,109.6714,85.8103
2018-09-27,87.6487,5659.7717,94.5541,109.8829,85.2117
2018-09-26,87.9119,6688.8026,77.2801,110.0734,84.6427
2018-09-25,88.1835,7442.3605,61.9477,110.2823,84.1914
2018-09-24,88.4130,9319.0886,47.5967,110.4948,83.8728
2018-09-21,88.5697,10954.5154,39.3473,110.7049,83.7458
2018-09-20,88.9043,12517.8886,25.7871,110.9269,83.8751
2018-09-19,89.2577,14285.3230,13.0311,111.1332,84.2928
2018-09-18,89.7252,15396.0974,6.3231,111.3859,85.0320
2018-09-17,90.3883,14762.6062,-4.1551,111.6573,85.9824
2018-09-14,91.0341,12667.4395,-15.1488,111.9297,87.0888
2018-09-13,91.5873,6269.7551,-27.9378,112.2169,88.3041
