DATE,SMA,EMA,MACD,RSI,ADX,CCI,WMA,TRIX,MINUS_DI,PLUS_DI,HT_TRENDLINE,ADOSC,HT_DCPHASE,MAMA,T3
2019-02-15,76.403,75.6975,0.4142,39.4897,26.7903,-162.2273,75.8438,0.1343,52.2205,30.7345,75.9409,-317.885,238.4999,88.9148,76.8647
2019-02-14,76.6352,76.1107,0.6392,42.2506,26.8892,-210.5871,76.3524,0.1805,52.2205,30.7345,75.9183,343.5625,223.4355,89.0671,76.9482
2019-02-13,76.7417,76.4842,0.8567,58.1293,26.999000000000002,4.8041,76.7727,0.2135,33.7581,42.6105,75.872,1884.0868,215.1667,89.215,76.9271
2019-02-12,76.5617,76.3696,0.8602,54.5395,28.7109,-19.7936,76.693,0.2276,36.298,38.2927,75.7386,4790.9048,206.7809,89.3384,76.8251
2019-02-11,76.5097,76.3628,0.9132,54.5395,31.6039,-14.6399,76.7129,0.2448,36.298,38.2927,75.6316,4851.4811,199.5565,89.469,76.6914
2019-02-08,76.4813,76.3545,0.9677,50.1801,34.8183,-32.9542,76.7277,0.2588,36.5205,37.9143,75.4707,3921.4495,189.6026,89.6011,76.5066
2019-02-07,76.4679,76.5124,1.1,58.7164,38.4789,14.7199,76.8775,0.2672,34.7079,40.7073,75.3123,776.6058,179.2353,89.742,76.269
2019-02-06,76.1852,76.4224,1.1233,74.1633,41.8705,159.8254,76.7444,0.2557,15.5744,52.6364,75.1489,1877.4086,170.2442,89.8716,75.984
2019-02-05,75.7712,75.9274,0.9603,68.6855,40.4856,210.9464,76.2209,0.2314,15.5744,52.6364,75.0229,1145.7249,146.8198,89.9849,75.7098
2019-02-04,75.3872,75.6068,0.8686,68.7881,38.9468,142.9671,75.8604,0.2163,18.9208,49.5841,74.9486,-897.441,128.9116,90.1124,75.4934
2019-02-01,75.0222,75.2128,0.7379,62.6683,38.3008,93.6068,75.4317,0.2042,21.6032,42.4366,74.8844,-905.1929,108.5643,90.241,75.3148
2019-01-31,74.7792,75.0023,0.6846,58.6953,38.9418,87.2357,75.1806,0.2021,21.6032,42.4366,74.7524,-1211.2971,86.7317,90.3832,75.1719
2019-01-30,74.5987,74.8928,0.6742,56.8624,39.654,18.5938,75.0177,0.203,24.073,37.2191,74.5084,-1690.3748,9.5404,90.5336,75.037
2019-01-29,74.4809,74.8246,0.6813,62.6279,41.6769,107.9129,74.8869,0.2015,12.4153,42.9337,74.2163,-2244.7037,300.2244,90.6885,74.9009
2019-01-28,74.3629,74.5901,0.6111,64.6807,40.1812,155.786,74.6111,0.1936,12.4199,42.9497,73.897,-2402.345,275.3944,90.838,74.7711
2019-01-25,74.3163,74.2508,0.4886,61.7901,38.5193,147.7618,74.2838,0.1879,13.1222,39.724000000000004,73.6106,-2253.8361,260.173,90.9867,74.6712
2019-01-24,74.2853,73.971,0.3869,53.8271,37.2061,65.9872,74.0611,0.1929,13.1222,39.724000000000004,73.3601,-2923.187,247.4242,91.1431,74.6004
2019-01-23,74.5863,73.9446,0.396,56.9886,35.747,-3.0321,74.1513,0.2098,14.6982,36.0369,73.1832,-3909.7809,242.6486,91.3153,74.5271
2019-01-22,74.7623,73.819,0.3592,50.9371,35.0457,-45.9818,74.1972,0.2262,15.2677,37.4332,72.9178,-4610.2814,229.885,91.4851,74.4078
2019-01-18,74.7843,73.8832,0.4067,52.2883,34.2664,-85.8588,74.4253,0.2481,16.7193,33.0432,72.7041,-5298.1089,217.2231,91.6664,74.23
2019-01-17,74.7303,73.9172,0.441,52.2883,34.4289,-92.35799999999999,74.6071,0.264,16.7193,33.0432,72.5317,-5966.2826,210.2709,91.8476,73.9563
2019-01-16,74.5087,73.9588,0.4784,52.0824,34.6095,-60.4545,74.7487,0.2722,16.7935,32.9996,72.2774,-6273.7553,196.782,92.0306,73.5785
2019-01-15,74.0997,74.0185,0.5233,53.8213,34.8387,-2.1305,74.8232,0.2677,16.8512,33.113,72.0609,-5631.1874,189.0768,92.2159,73.0906
2019-01-14,73.6864,74.0176,0.539,57.3281,35.0934,27.6444,74.762,0.2432,13.4107,35.6087,71.7617,-3400.9797,174.4834,92.3997,72.5
2019-01-11,73.1144,73.866,0.4824,62.4661,33.9611,43.7113,74.4737,0.19399999999999998,13.6075,36.1313,71.4722,-3503.699,158.3161,92.5784,71.8404
2019-01-10,72.4494,73.4695,0.3063,60.975,32.703,87.9117,73.8918,0.1209,11.232000000000001,40.545,71.1947,-4111.7462,150.0491,92.7494,71.1686
2019-01-09,71.7682,73.085,0.1229,71.8163,30.0462,102.1066,73.2678,0.0329,11.6059,43.8752,70.9472,-5545.3624,130.534,92.9267,70.5534
2019-01-08,70.8882,72.1928,-0.3064,69.6981,26.9221,131.4688,72.1384,-0.0737,12.6177,44.5341,70.761,-6356.1755,107.7949,93.0866,70.0509
2019-01-07,70.1822,71.2867,-0.7653,61.8668,23.7085,156.5998,71.0315,-0.1671,13.7116,44.8224,70.7063,-8874.0129,81.3067,93.2564,69.7468
2019-01-04,69.8322,70.7393,-1.0834,59.7883,20.4372,235.4677,70.3192,-0.2355,14.9625,47.1805,70.7358,-10452.2622,46.4822,93.4535,69.642
2019-01-03,69.6662,70.1947,-1.4166,52.8686,16.9474,205.2862,69.6785,-0.28800000000000003,17.8268,37.0691,70.8072,-12006.4856,24.6208,93.6581,69.6986
2019-01-02,69.7358,69.9015,-1.6507,42.7415,14.9358,14.4397,69.3552,-0.3149,19.5131,31.1164,70.9065,-13321.8366,2.1933,93.8818,69.9028
2018-12-31,70.1558,69.9685,-1.7305,44.0316,14.0489,7.4462,69.4562,-0.3197,19.6003,31.2554,71.1123,-13576.7309,-19.7115,94.1271,70.2036
2018-12-28,70.3668,69.986,-1.8368,38.8159,13.0634,-40.9356,69.5429,-0.3161,23.3793,25.2337,71.4286,-11182.7546,-28.9141,94.3719,70.5496
