DATE,CCI,WMA,TRIX,MINUS_DI,PLUS_DI
2019-02-15,-162.2273,75.8438,0.1343,52.2205,30.7345
2019-02-14,-210.5871,76.3524,0.1805,52.2205,30.7345
2019-02-13,4.8041,76.7727,0.2135,33.7581,42.6105
2019-02-12,-19.7936,76.6930,0.2276,36.2980,38.2927
2019-02-11,-14.6399,76.7129,0.2448,36.2980,38.2927
2019-02-08,-32.9542,76.7277,0.2588,36.5205,37.9143
2019-02-07,14.7199,76.8775,0.2672,34.7079,40.7073
2019-02-06,159.8254,76.7444,0.2557,15.5744,52.6364
2019-02-05,210.9464,76.2209,0.2314,15.5744,52.6364
2019-02-04,142.9671,75.8604,0.2163,18.9208,49.5841
2019-02-01,93.6068,75.4317,0.2042,21.6032,42.4366
2019-01-31,87.2357,75.1806,0.2021,21.6032,42.4366
2019-01-30,18.5938,75.0177,0.2030,24.0730,37.2191
2019-01-29,107.9129,74.8869,0.2015,12.4153,42.9337
2019-01-28,155.7860,74.6111,0.1936,12.4199,42.9497
2019-01-25,147.7618,74.2838,0.1879,13.1222,39.7240
2019-01-24,65.9872,74.0611,0.1929,13.1222,39.7240
2019-01-23,-3.0321,74.1513,0.2098,14.6982,36.0369
2019-01-22,-45.9818,74.1972,0.2262,15.2677,37.4332
2019-01-18,-85.8588,74.4253,0.2481,16.7193,33.0432
2019-01-17,-92.3580,74.6071,0.2640,16.7193,33.0432
2019-01-16,-60.4545,74.7487,0.2722,16.7935,32.9996
2019-01-15,-2.1305,74.8232,0.2677,16.8512,33.1130
2019-01-14,27.6444,74.7620,0.2432,13.4107,35.6087
2019-01-11,43.7113,74.4737,0.1940,13.6075,36.1313
2019-01-10,87.9117,73.8918,0.1209,11.2320,40.5450
2019-01-09,102.1066,73.2678,0.0329,11.6059,43.8752
2019-01-08,131.4688,72.1384,-0.0737,12.6177,44.5341
2019-01-07,156.5998,71.0315,-0.1671,13.7116,44.8224
2019-01-04,235.4677,70.3192,-0.2355,14.9625,47.1805
2019-01-03,205.2862,69.6785,-0.2880,17.8268,37.0691
2019-01-02,14.4397,69.3552,-0.3149,19.5131,31.1164
2018-12-31,7.4462,69.4562,-0.3197,19.6003,31.2554
2018-12-28,-40.9356,69.5429,-0.3161,23.3793,25.2337
2018-12-27,-102.9408,69.8509,-0.2971,25.6757,25.2092
2018-12-26,-92.2325,70.2630,-0.2698,28.0710,27.5610
2018-12-24,-111.9025,70.8444,-0.2345,33.0360,25.6178
2018-12-21,-87.5011,71.4623,-0.2021,32.9587,26.9164
2018-12-20,-117.9103,71.9587,-0.1837,38.9340,23.6006
2018-12-19,-120.2529,72.3041,-0.1820,41.1436,25.0378
2018-12-18,12.2754,72.4709,-0.1975,31.7992,29.0129
2018-12-17,12.3583,72.5590,-0.2244,31.9414,29.1426
2018-12-14,-37.7018,72.3767,-0.2601,35.4192,25.4438
2018-12-13,-10.5690,72.5219,-0.2850,34.1224,26.3979
2018-12-12,106.9176,72.6649,-0.3158,30.2249,30.2685
2018-12-11,-80.0268,72.2555,-0.3548,37.0672,18.9585
2018-12-10,-162.4261,72.4679,-0.3639,40.1788,19.7486
2018-12-07,-58.8832,73.0879,-0.3702,34.1459,22.2834
2018-12-06,-92.3710,73.3046,-0.4054,38.6797,21.5033
2018-12-04,24.6169,73.3427,-0.4592,34.0064,23.5227
2018-12-03,130.8744,72.9305,-0.5323,26.2811,26.7235
2018-11-30,115.3838,72.4391,-0.6028,28.6990,29.1820
2018-11-29,89.0447,71.8701,-0.6614,33.5537,25.6854
2018-11-28,79.0833,71.8587,-0.6942,35.1393,28.5014
2018-11-27,9.0009,71.8072,-0.7219,39.4374,28.9674
2018-11-26,8.3780,71.7093,-0.7377,40.4296,32.0130
2018-11-23,-66.2901,71.9747,-0.7246,46.7246,21.4272
2018-11-21,-66.5542,72.7504,-0.6847,47.8060,22.1005
2018-11-20,-103.1152,73.5867,-0.6338,52.9883,16.5396
2018-11-19,-97.4707,74.9280,-0.5640,49.0765,17.9159
2018-11-16,-117.2088,76.1516,-0.4984,48.1329,18.2479
2018-11-15,-153.8246,77.3649,-0.4352,49.0360,18.7871
2018-11-14,-165.7736,78.7001,-0.3799,50.8274,21.4372
2018-11-13,-172.3847,79.6810,-0.3515,51.3329,24.7403
2018-11-12,-72.4915,80.7022,-0.3480,44.1132,28.4104
2018-11-09,26.9043,80.6744,-0.3940,36.9153,32.0695
2018-11-08,39.7127,80.4283,-0.4524,36.9115,32.0715
2018-11-07,168.2555,80.0965,-0.5198,26.3189,37.4562
2018-11-06,148.3341,78.9484,-0.5976,28.7253,31.7379
2018-11-05,89.0978,78.4007,-0.6367,32.3968,29.8973
2018-11-02,11.0351,78.1732,-0.6536,34.7052,24.9022
2018-11-01,4.5546,78.2846,-0.6461,37.5950,26.9757
2018-10-31,-37.1369,78.7038,-0.6130,43.3141,21.2118
2018-10-30,-53.5289,79.2875,-0.5522,45.5030,19.1739
2018-10-29,-65.3710,80.6155,-0.4534,45.2363,20.9635
2018-10-26,-105.1928,81.8296,-0.3405,50.4463,13.7034
2018-10-25,-140.4845,83.7389,-0.2014,51.2971,13.9345
2018-10-24,-185.2023,85.8278,-0.0702,47.3018,15.7526
2018-10-23,-281.4732,87.4231,0.0306,51.3571,17.8942
2018-10-22,-54.5061,89.4283,0.1028,31.8993,27.8380
2018-10-19,36.5296,89.4398,0.0914,25.1776,32.4045
2018-10-18,43.6028,89.1886,0.0648,26.2279,33.7562
2018-10-17,43.5308,88.8030,0.0295,28.4406,35.2306
2018-10-16,73.6985,88.2859,-0.0087,28.2599,37.3056
2018-10-15,106.8651,87.8466,-0.0431,30.0729,39.6989
2018-10-12,5.1563,87.4585,-0.0754,35.4557,34.5702
2018-10-11,149.2864,87.2100,-0.1042,27.4756,42.3571
2018-10-10,121.3224,86.5381,-0.1321,30.1041,46.4091
2018-10-09,-111.9370,86.6335,-0.1260,42.8548,23.7106
