DATE,SMA,EMA,MACD,RSI,ADX,CCI,WMA,TRIX,MINUS_DI,PLUS_DI,HT_TRENDLINE,ADOSC,HT_DCPHASE,MAMA,T3
2019-02-15,148.963,148.8826,3.3913,73.3698,42.0685,149.816,149.8811,0.435,11.4088,42.1902,139.3218,3220788.7887,184.0812,146.9198,149.0672
2019-02-14,148.63299999999998,148.1898,3.2798,71.1047,40.3617,105.3653,149.2689,0.4321,13.0491,39.6297,138.7765,2809717.8045,178.9972,146.8685,148.3656
2019-02-13,147.82,147.5809,3.1988,71.4113,39.24,155.9694,148.7035,0.4295,10.540999999999999,42.965,138.4114,3544495.4421,171.6124,146.8275,147.6534
2019-02-12,146.967,146.8233,3.0428,67.6689,36.8668,100.4869,147.972,0.4248,11.7726,37.0566,138.1425,4005461.841,167.2006,146.7854,146.9205
2019-02-11,146.132,146.2952,2.9816,67.2158,35.2097,69.5711,147.4142,0.4224,12.9655,34.8715,137.9659,3812812.4071,174.5237,146.7611,146.1706
2019-02-08,145.266,145.6963,2.8815,65.0984,34.0338,66.1499,146.7371,0.4155,13.7501,33.7417,137.7705,4160029.134,178.6487,146.7385,145.3766
2019-02-07,144.718,145.1888,2.8147,64.4644,33.1381,78.0033,146.144,0.405,14.3873,35.9787,137.5708,3336619.6352,183.0864,146.726,144.5496
2019-02-06,144.04,144.6375,2.72,69.2877,32.0569,117.3846,145.484,0.3863,10.8502,38.5995,137.2945,3529061.9323,187.3918,146.7165,143.6972
2019-02-05,143.22299999999998,143.6702,2.4253,68.3346,29.3836,145.99,144.4355,0.3578,11.3941,37.1964,136.8596,3424675.5018,189.2719,146.6935,142.8587
2019-02-04,142.47899999999998,142.6192,2.0738,61.1199,26.7483,158.7912,143.3589,0.3313,11.9694,36.3921,136.4062,2452072.2139,190.5947,146.6763,142.0924
2019-02-01,142.209,142.2057,1.9942,78.4345,24.1091,213.1574,142.946,0.3123,13.7067,41.6743,135.9502,1834151.6848,187.0638,146.6984,141.3934
2019-01-31,141.07,140.7625,1.4339,66.4892,21.1768,139.0969,141.5587,0.2826,17.0586,29.3691,135.5694,3402452.4725,181.9923,146.6782,140.7185
2019-01-30,140.542,140.3097,1.2987,65.498,20.5836,118.7952,141.1482,0.2758,18.4254,30.3501,135.323,2857646.7947,180.4961,146.7174,140.1354
2019-01-29,140.039,139.8318,1.1418,60.5216,20.1542,75.2676,140.708,0.2681,20.7484,27.2446,135.0805,2308865.362,178.7489,146.7604,139.5045
2019-01-28,139.588,139.6056,1.0888,58.794,20.8896,16.738,140.4785,0.2603,22.3018,23.143,134.8504,2065476.4327,176.6835,146.8201,138.8094
2019-01-25,139.23,139.4446,1.0583,70.3578,23.0049,105.7329,140.2785,0.2435,13.8809,26.0308,134.6168,1868744.9435,167.1473,146.8857,138.022
2019-01-24,138.502,138.7656,0.7831,65.8762,22.1786,98.399,139.5516,0.2118,14.7685,24.7504,134.3719,2804328.0001,165.1958,146.93,137.1636
2019-01-23,138.033,138.2936,0.5843,65.6731,21.8364,89.4848,139.0322,0.1784,15.683,23.4483,134.2061,3103897.6,154.1814,146.991,136.2986
2019-01-22,137.55700000000002,137.7321,0.3292,66.3842,22.0578,93.3642,138.4389,0.1366,16.9496,24.7749,134.1055,3009695.8929,141.8548,147.0533,135.4196
2019-01-18,136.895,137.0148,-0.0154,70.4029,22.4248,205.0249,137.6998,0.0877,12.4916,27.8645,134.1216,3177564.6344,127.769,147.1149,134.561
2019-01-17,135.97899999999998,135.9559,-0.5386,57.8989,20.6839,138.9356,136.6451,0.0364,13.7859,23.3395,134.3065,2668688.0394,103.8547,147.1687,133.7569
2019-01-16,135.458,135.655,-0.7433,58.952,20.1228,93.0928,136.3084,-0.003,15.6968,18.7978,134.6468,2446055.401,89.1786,147.2683,133.0196
2019-01-15,134.725,135.2405,-1.0153,58.662,21.3598,84.3864,135.8002,-0.0507,16.567999999999998,17.7358,135.1534,2488783.539,69.8005,147.3668,132.2725
2019-01-14,134.138,134.754,-1.3384,55.213,23.3549,87.1418,135.2016,-0.1041,17.5409,18.375,135.7194,2148657.0485,56.1943,147.4672,131.5507
2019-01-11,133.716,134.4015,-1.6204,56.8178,25.6918,102.5543,134.7245,-0.1607,17.299,19.7074,136.1576,1596085.3412,43.1832,147.5796,130.8828
2019-01-10,132.803,133.8797,-1.9985,52.1464,27.8234,109.8976,134.0069,-0.2241,18.0661,20.5813,136.2785,1296044.5467,33.7492,147.6889,130.2894
2019-01-09,131.783,133.5818,-2.2962,55.6146,30.1917,108.588,133.382,-0.2884,20.0153,18.8425,136.305,889045.3421,28.8898,147.8149,129.8227
2019-01-08,131.023,133.0,-2.7426,55.2318,33.211,128.7365,132.4407,-0.3591,21.061999999999998,19.8279,136.342,1174312.81,24.2712,147.9322,129.5115
2019-01-07,130.418,132.32,-3.2582,50.5123,36.5658,150.9296,131.4149,-0.4255,22.695999999999998,18.6993,136.3873,1271277.5217,19.5614,148.0521,129.4322
2019-01-04,130.257,131.8711,-3.6938,45.3248,39.5559,155.6093,130.6725,-0.4792,24.609,17.4363,136.4688,408855.3684,14.9525,148.1906,129.6149
2019-01-03,130.55,131.7047,-4.0209,43.7196,42.0555,11.0373,130.2962,-0.5198,28.3606,13.7757,136.5763,-512440.3815,11.1724,148.3479,130.0433
2019-01-02,130.935,131.6168,-4.327,37.6702,42.8824,7.4644,130.0844,-0.5496,31.7923,12.6883,136.6876,-645776.6446,11.2827,148.512,130.6981
2018-12-31,131.499,131.9339,-4.4602,40.479,42.875,7.9247,130.3224,-0.5648,31.3805,13.6871,137.0034,-2037914.8762,8.4322,148.6971,131.5715
2018-12-28,132.086,132.0169,-4.705,41.6206,43.2766,-11.4134,130.418,-0.5723,32.8832,14.3425,137.4193,-3274644.578,5.8995,148.8702,132.63
2018-12-27,132.785,131.994,-5.0059,26.6615,43.7229,-48.8792,130.5389,-0.5598,35.4312,11.4971,138.0267,-3940026.6409,4.8827,149.0394,133.8784
2018-12-26,133.9,132.9661,-4.859,15.3873,42.9142,-106.087,131.6807,-0.5147,40.188,7.3465,138.8761,-6060831.8155,6.9557,149.2558,135.2393
2018-12-24,135.377,134.7318,-4.3361,19.0086,40.0058,-174.834,133.5638,-0.4581,44.0978,8.6889,139.8666,-7434044.0987,5.3356,149.5006,136.5259
2018-12-21,136.387,136.0945,-3.9701,20.7386,36.9977,-147.49,134.9796,-0.4138,36.1391,9.9787,140.7432,-6489144.2961,-6.0948,149.7117,137.6441
2018-12-20,137.469,137.4466,-3.5888,24.6305,34.8057,-172.4246,136.3358,-0.3758,39.4464,10.9255,141.5026,-4742741.6253,-13.1733,149.9107,138.642
2018-12-19,138.221,138.4947,-3.3268,29.8591,32.3818,-126.1699,137.3342,-0.3479,36.0285,12.3636,142.2207,-4410757.6984,-22.2003,150.0842,139.5365
2018-12-18,139.496,139.1491,-3.2312,30.6908,30.5462,-103.2738,138.0516,-0.326,35.3386,14.6553,142.8898,-3983614.514,-23.5594,150.2311,140.3777
2018-12-17,140.901,139.86,-3.1029,30.1656,29.3434,-112.8113,138.9518,-0.3002,38.0302,15.7716,143.4241,-3872610.3519,-23.8546,150.3753,141.1984
2018-12-14,141.908,140.7556,-2.8818,33.183,28.0069,-79.6651,140.0569,-0.2718,34.4604,17.596,143.9342,-3413054.9231,-20.1196,150.5222,141.9711
2018-12-13,142.595,141.4946,-2.7206,36.6472,27.5192,-54.695,140.996,-0.247,31.6667,19.1224,144.4567,-2885098.4601,-7.9797,150.6545,142.6689
2018-12-12,143.05200000000002,142.0245,-2.6464,35.4192,27.8325,-62.8356,141.7127,-0.2232,32.8719,20.453,144.9642,-2312050.9157,11.6525,150.7711,143.3011
2018-12-11,143.41299999999998,142.7477,-2.4784,37.3752,28.3374,-107.6181,142.5569,-0.1951,36.9236,20.986,145.5062,-764822.2924,31.8748,150.8923,143.8609
2018-12-10,143.821,143.405,-2.3319,33.8624,28.428,-147.6689,143.2898,-0.1682,41.5822,20.6888,146.0117,69935.3433,40.2125,151.0045,144.2993
2018-12-07,144.215,144.4505,-2.0,37.5686,27.8587,-123.7273,144.2925,-0.1421,38.5891,22.9895,146.4377,-25494.7703,39.4469,151.1287,144.5936
2018-12-06,144.627,145.2551,-1.7641,35.8479,28.1393,-158.1891,144.9829,-0.1315,44.9476,22.0326,146.6794,428552.4327,30.5556,151.2328,144.7099
2018-12-04,145.172,146.3673,-1.3784,54.6702,27.4646,-2.8958,145.8778,-0.1363,34.895,26.2933,146.7284,-720472.4559,14.8512,151.3437,144.7092
2018-12-03,145.185,145.9378,-1.6856,60.7308,28.9543,171.1405,145.3115,-0.174,19.1602,33.3561,146.5695,932524.6706,-8.0151,151.3744,144.6673
