DATE,CCI,WMA,TRIX,MINUS_DI,PLUS_DI
2019-02-15,149.8160,149.8811,0.4350,11.4088,42.1902
2019-02-14,105.3653,149.2689,0.4321,13.0491,39.6297
2019-02-13,155.9694,148.7035,0.4295,10.5410,42.9650
2019-02-12,100.4869,147.9720,0.4248,11.7726,37.0566
2019-02-11,69.5711,147.4142,0.4224,12.9655,34.8715
2019-02-08,66.1499,146.7371,0.4155,13.7501,33.7417
2019-02-07,78.0033,146.1440,0.4050,14.3873,35.9787
2019-02-06,117.3846,145.4840,0.3863,10.8502,38.5995
2019-02-05,145.9900,144.4355,0.3578,11.3941,37.1964
2019-02-04,158.7912,143.3589,0.3313,11.9694,36.3921
2019-02-01,213.1574,142.9460,0.3123,13.7067,41.6743
2019-01-31,139.0969,141.5587,0.2826,17.0586,29.3691
2019-01-30,118.7952,141.1482,0.2758,18.4254,30.3501
2019-01-29,75.2676,140.7080,0.2681,20.7484,27.2446
2019-01-28,16.7380,140.4785,0.2603,22.3018,23.1430
2019-01-25,105.7329,140.2785,0.2435,13.8809,26.0308
2019-01-24,98.3990,139.5516,0.2118,14.7685,24.7504
2019-01-23,89.4848,139.0322,0.1784,15.6830,23.4483
2019-01-22,93.3642,138.4389,0.1366,16.9496,24.7749
2019-01-18,205.0249,137.6998,0.0877,12.4916,27.8645
2019-01-17,138.9356,136.6451,0.0364,13.7859,23.3395
2019-01-16,93.0928,136.3084,-0.0030,15.6968,18.7978
2019-01-15,84.3864,135.8002,-0.0507,16.5680,17.7358
2019-01-14,87.1418,135.2016,-0.1041,17.5409,18.3750
2019-01-11,102.5543,134.7245,-0.1607,17.2990,19.7074
2019-01-10,109.8976,134.0069,-0.2241,18.0661,20.5813
2019-01-09,108.5880,133.3820,-0.2884,20.0153,18.8425
2019-01-08,128.7365,132.4407,-0.3591,21.0620,19.8279
2019-01-07,150.9296,131.4149,-0.4255,22.6960,18.6993
2019-01-04,155.6093,130.6725,-0.4792,24.6090,17.4363
2019-01-03,11.0373,130.2962,-0.5198,28.3606,13.7757
2019-01-02,7.4644,130.0844,-0.5496,31.7923,12.6883
2018-12-31,7.9247,130.3224,-0.5648,31.3805,13.6871
2018-12-28,-11.4134,130.4180,-0.5723,32.8832,14.3425
2018-12-27,-48.8792,130.5389,-0.5598,35.4312,11.4971
2018-12-26,-106.0870,131.6807,-0.5147,40.1880,7.3465
2018-12-24,-174.8340,133.5638,-0.4581,44.0978,8.6889
2018-12-21,-147.4900,134.9796,-0.4138,36.1391,9.9787
2018-12-20,-172.4246,136.3358,-0.3758,39.4464,10.9255
2018-12-19,-126.1699,137.3342,-0.3479,36.0285,12.3636
2018-12-18,-103.2738,138.0516,-0.3260,35.3386,14.6553
2018-12-17,-112.8113,138.9518,-0.3002,38.0302,15.7716
2018-12-14,-79.6651,140.0569,-0.2718,34.4604,17.5960
2018-12-13,-54.6950,140.9960,-0.2470,31.6667,19.1224
2018-12-12,-62.8356,141.7127,-0.2232,32.8719,20.4530
2018-12-11,-107.6181,142.5569,-0.1951,36.9236,20.9860
2018-12-10,-147.6689,143.2898,-0.1682,41.5822,20.6888
2018-12-07,-123.7273,144.2925,-0.1421,38.5891,22.9895
2018-12-06,-158.1891,144.9829,-0.1315,44.9476,22.0326
2018-12-04,-2.8958,145.8778,-0.1363,34.8950,26.2933
2018-12-03,171.1405,145.3115,-0.1740,19.1602,33.3561
2018-11-30,57.2176,144.3902,-0.2072,23.1051,21.1272
2018-11-29,14.2317,144.2098,-0.2165,24.8097,21.6618
2018-11-28,-59.2923,144.3995,-0.2135,28.0135,14.1368
2018-11-27,-93.0152,144.7795,-0.2028,30.7400,12.4083
2018-11-26,-105.6784,145.5375,-0.1866,32.6377,13.1744
2018-11-23,-150.3837,146.1376,-0.1745,35.9732,12.6518
2018-11-21,-152.9641,147.0960,-0.1629,31.0917,13.6852
2018-11-20,-201.0180,147.7271,-0.1647,33.0492,14.5468
2018-11-19,-54.6624,148.2580,-0.1756,24.2269,16.8951
2018-11-16,-38.8011,148.2409,-0.1975,26.8696,15.6853
2018-11-15,-66.5384,148.3625,-0.2178,29.0738,14.9400
2018-11-14,-6.7660,148.8131,-0.2413,25.0490,16.7814
2018-11-13,23.9288,148.6500,-0.2825,26.8705,18.0018
2018-11-12,46.0780,148.4962,-0.3299,27.7172,20.4562
2018-11-09,84.1955,147.8469,-0.3896,27.0988,22.5276
2018-11-08,127.7555,147.1331,-0.4497,25.0730,24.0420
2018-11-07,143.7500,146.3764,-0.5061,26.4198,25.3334
2018-11-06,116.0493,145.6291,-0.5525,29.2298,20.7008
2018-11-05,45.5762,145.3416,-0.5790,31.3751,18.0775
2018-11-02,-28.2202,145.5847,-0.5884,34.0544,14.4564
2018-11-01,-56.9473,146.0149,-0.5859,37.0728,12.6186
2018-10-31,-53.5034,146.6895,-0.5683,37.5684,13.3859
2018-10-30,-106.9239,147.7276,-0.5335,41.6214,4.4282
2018-10-29,-129.4439,149.6749,-0.4819,44.5020,4.7346
2018-10-26,-105.6880,151.1496,-0.4365,36.8083,5.7284
2018-10-25,-118.3233,152.6824,-0.3891,36.0927,6.3141
2018-10-24,-179.6736,154.1238,-0.3452,39.5793,6.9241
2018-10-23,-188.0250,155.1138,-0.3084,41.0833,8.2414
2018-10-22,-132.9336,156.6085,-0.2700,34.4179,9.9212
2018-10-19,-93.4869,157.4915,-0.2466,33.6300,11.0197
2018-10-18,-79.5471,158.1124,-0.2270,34.2508,13.2769
2018-10-17,-25.5118,158.6791,-0.2045,27.3554,15.4139
2018-10-16,-32.7525,158.9547,-0.1754,31.1408,14.3025
2018-10-15,-81.4736,159.8349,-0.1255,35.7669,8.1083
2018-10-12,-116.8572,161.1504,-0.0634,39.2616,6.8877
2018-10-11,-184.8182,162.7613,0.0008,45.5340,7.9880
2018-10-10,-244.0848,164.2862,0.0543,41.0410,9.8268
2018-10-09,-201.6504,165.1453,0.0892,27.6782,12.1801
2018-10-08,-118.9099,165.3967,0.1132,20.0008,15.1783
