DATE,HT_TRENDLINE,ADOSC,HT_DCPHASE,MAMA,T3
2019-02-15,139.3218,3220788.7887,184.0812,146.9198,149.0672
2019-02-14,138.7765,2809717.8045,178.9972,146.8685,148.3656
2019-02-13,138.4114,3544495.4421,171.6124,146.8275,147.6534
2019-02-12,138.1425,4005461.8410,167.2006,146.7854,146.9205
2019-02-11,137.9659,3812812.4071,174.5237,146.7611,146.1706
2019-02-08,137.7705,4160029.1340,178.6487,146.7385,145.3766
2019-02-07,137.5708,3336619.6352,183.0864,146.7260,144.5496
2019-02-06,137.2945,3529061.9323,187.3918,146.7165,143.6972
2019-02-05,136.8596,3424675.5018,189.2719,146.6935,142.8587
2019-02-04,136.4062,2452072.2139,190.5947,146.6763,142.0924
2019-02-01,135.9502,1834151.6848,187.0638,146.6984,141.3934
2019-01-31,135.5694,3402452.4725,181.9923,146.6782,140.7185
2019-01-30,135.3230,2857646.7947,180.4961,146.7174,140.1354
2019-01-29,135.0805,2308865.3620,178.7489,146.7604,139.5045
2019-01-28,134.8504,2065476.4327,176.6835,146.8201,138.8094
2019-01-25,134.6168,1868744.9435,167.1473,146.8857,138.0220
2019-01-24,134.3719,2804328.0001,165.1958,146.9300,137.1636
2019-01-23,134.2061,3103897.6000,154.1814,146.9910,136.2986
2019-01-22,134.1055,3009695.8929,141.8548,147.0533,135.4196
2019-01-18,134.1216,3177564.6344,127.7690,147.1149,134.5610
2019-01-17,134.3065,2668688.0394,103.8547,147.1687,133.7569
2019-01-16,134.6468,2446055.4010,89.1786,147.2683,133.0196
2019-01-15,135.1534,2488783.5390,69.8005,147.3668,132.2725
2019-01-14,135.7194,2148657.0485,56.1943,147.4672,131.5507
2019-01-11,136.1576,1596085.3412,43.1832,147.5796,130.8828
2019-01-10,136.2785,1296044.5467,33.7492,147.6889,130.2894
2019-01-09,136.3050,889045.3421,28.8898,147.8149,129.8227
2019-01-08,136.3420,1174312.8100,24.2712,147.9322,129.5115
2019-01-07,136.3873,1271277.5217,19.5614,148.0521,129.4322
2019-01-04,136.4688,408855.3684,14.9525,148.1906,129.6149
2019-01-03,136.5763,-512440.3815,11.1724,148.3479,130.0433
2019-01-02,136.6876,-645776.6446,11.2827,148.5120,130.6981
2018-12-31,137.0034,-2037914.8762,8.4322,148.6971,131.5715
2018-12-28,137.4193,-3274644.5780,5.8995,148.8702,132.6300
2018-12-27,138.0267,-3940026.6409,4.8827,149.0394,133.8784
2018-12-26,138.8761,-6060831.8155,6.9557,149.2558,135.2393
2018-12-24,139.8666,-7434044.0987,5.3356,149.5006,136.5259
2018-12-21,140.7432,-6489144.2961,-6.0948,149.7117,137.6441
2018-12-20,141.5026,-4742741.6253,-13.1733,149.9107,138.6420
2018-12-19,142.2207,-4410757.6984,-22.2003,150.0842,139.5365
2018-12-18,142.8898,-3983614.5140,-23.5594,150.2311,140.3777
2018-12-17,143.4241,-3872610.3519,-23.8546,150.3753,141.1984
2018-12-14,143.9342,-3413054.9231,-20.1196,150.5222,141.9711
2018-12-13,144.4567,-2885098.4601,-7.9797,150.6545,142.6689
2018-12-12,144.9642,-2312050.9157,11.6525,150.7711,143.3011
2018-12-11,145.5062,-764822.2924,31.8748,150.8923,143.8609
2018-12-10,146.0117,69935.3433,40.2125,151.0045,144.2993
2018-12-07,146.4377,-25494.7703,39.4469,151.1287,144.5936
2018-12-06,146.6794,428552.4327,30.5556,151.2328,144.7099
2018-12-04,146.7284,-720472.4559,14.8512,151.3437,144.7092
2018-12-03,146.5695,932524.6706,-8.0151,151.3744,144.6673
2018-11-30,146.4234,1727899.1871,-39.4987,151.3883,144.8066
2018-11-29,146.3935,351799.5537,302.5020,151.4438,145.1406
2018-11-28,146.4368,-534938.7728,285.1785,151.5159,145.5463
2018-11-27,146.6502,-2028343.6542,259.5968,151.5951,145.9524
2018-11-26,147.0466,-2232965.6097,235.3755,151.6882,146.3012
2018-11-23,147.6230,-2310860.2544,171.4723,151.7671,146.5341
2018-11-21,148.3083,-2195045.8687,129.1553,151.8593,146.6464
2018-11-20,149.1022,-1206608.5624,92.3180,151.9291,146.6028
2018-11-19,149.8783,-568243.0325,70.8233,151.9920,146.4530
2018-11-16,150.6362,-521141.6980,54.2651,152.0280,146.2256
2018-11-15,151.5893,-1407709.5774,44.3676,152.0740,145.9704
2018-11-14,152.6946,-1797693.2541,36.8879,152.1388,145.6582
2018-11-13,153.7567,-984467.7407,29.1067,152.1741,145.2857
2018-11-12,154.8323,-266021.1303,21.3273,152.2168,144.9564
2018-11-09,155.8880,176956.9466,11.1784,152.2374,144.7196
2018-11-08,156.7972,-253730.9026,3.4185,152.2591,144.6843
2018-11-07,157.7255,-167757.6963,-5.2752,152.2815,144.9046
2018-11-06,158.4877,-327430.0940,-14.0975,152.3041,145.4223
2018-11-05,159.1054,-615163.6963,-23.3333,152.3507,146.2456
2018-11-02,159.5968,-1357432.9385,-32.5608,152.4190,147.3139
2018-11-01,159.9803,-2005357.8859,-40.6012,152.4878,148.5706
2018-10-31,160.3491,-2183609.1282,314.0613,152.5589,149.9864
2018-10-30,160.7459,-2336492.7160,311.8701,152.6363,151.4996
2018-10-29,161.1496,-3722666.5466,309.8502,152.7492,153.0133
2018-10-26,161.4903,-3364911.3736,304.1269,152.8263,154.4083
2018-10-25,161.8057,-3489864.4607,301.2572,152.8978,155.7136
2018-10-24,162.0700,-3649503.6101,294.0821,152.9556,156.9003
2018-10-23,162.3033,-3007941.7667,282.0899,152.9787,157.9756
2018-10-22,162.5652,-3954536.2431,273.3121,153.0150,158.9781
2018-10-19,162.8359,-3828965.1999,272.1909,153.0074,159.8874
2018-10-18,163.0518,-2794210.7774,270.9169,152.9762,160.8097
2018-10-17,163.2351,-2809322.0747,269.4024,152.9337,161.7927
2018-10-16,163.3793,-3095536.3700,263.1227,152.8674,162.8431
2018-10-15,163.5145,-4331689.7079,255.6762,152.8250,163.9408
2018-10-12,163.5598,-4411791.4192,242.8714,152.7957,164.9458
2018-10-11,163.4767,-4458793.7539,231.0560,152.7721,165.7511
2018-10-10,163.1898,-2600353.9204,219.2623,152.7338,166.3001
2018-10-09,162.8209,-941168.5146,211.4416,152.6530,166.6240
2018-10-08,162.4489,-24867.9109,206.7863,152.5359,166.8227
2018-10-05,162.1776,-401661.0323,203.4793,152.4199,166.9605
2018-10-04,162.0545,-5604.3031,201.4007,152.2930,167.0256
2018-10-03,161.8597,-28121.6362,199.7990,152.1646,167.0332
2018-10-02,161.5665,460254.8675,198.2337,152.0179,166.9875
2018-10-01,161.1946,715397.0407,196.0626,151.8776,166.9145
2018-09-28,160.8678,840799.5514,193.6491,151.7312,166.7875
2018-09-27,160.6181,690535.8412,190.6205,151.5933,166.5999
2018-09-26,160.4423,1207257.1774,189.2087,151.4465,166.3247
2018-09-25,160.2300,1472898.6742,188.0795,151.3003,165.9724
2018-09-24,159.9593,1858479.7160,187.2607,151.1536,165.5386
2018-09-21,159.6171,2358706.9268,186.7809,150.9974,165.0339
2018-09-20,159.2243,1923773.9819,184.3133,150.8369,164.4905
2018-09-19,158.9155,1810606.6878,180.7939,150.6776,163.9264
2018-09-18,158.6997,2153480.4829,176.9564,150.5202,163.3479
2018-09-17,158.5582,1618396.8879,180.4946,150.3647,162.7603
2018-09-14,158.4172,1637200.7677,184.7775,150.2168,162.1685
2018-09-13,158.2138,1963894.1818,189.0128,150.0620,161.5723
2018-09-12,157.9061,1636464.5228,189.5467,149.9148,160.9928
2018-09-11,157.5683,1703179.0883,189.6134,149.7861,160.4126
2018-09-10,157.1608,1983845.0449,185.7125,149.6530,159.8118
2018-09-07,156.8023,2810147.1362,180.1516,149.5122,159.2288
2018-09-06,156.5034,3208978.4128,172.6751,149.3722,158.6999
2018-09-05,156.2683,2644821.9810,163.6718,149.2400,158.2261
2018-09-04,156.1209,1865606.5274,151.7927,149.1339,157.7751
2018-08-31,156.0402,1376564.1716,137.8127,149.0335,157.2897
2018-08-30,156.0071,1593231.7930,114.1086,148.9337,156.7741
2018-08-29,155.9454,2000870.6245,97.9180,148.8229,156.2622
2018-08-28,155.9007,2146315.1802,81.1691,148.7084,155.8138
2018-08-27,155.8343,1685561.4626,63.4420,148.5942,155.4668
2018-08-24,155.7026,1653670.2507,43.5521,148.4998,155.2361
2018-08-23,155.4503,2261921.0301,18.1455,148.4060,155.1054
2018-08-22,155.1507,2460150.4060,-9.3735,148.3105,155.1015
2018-08-21,154.7522,2353470.7903,306.7313,148.2249,155.2411
2018-08-20,154.3495,2058796.1947,286.9908,148.1468,155.5060
2018-08-17,153.8991,1805577.6955,270.7830,148.0739,155.8726
2018-08-16,153.3510,1284899.7206,249.2095,148.0137,156.3038
2018-08-15,152.8663,840610.3056,231.5262,147.9612,156.7384
2018-08-14,152.4061,301639.5189,216.3874,147.9108,157.1224
2018-08-13,151.9139,188969.9078,204.6182,147.8625,157.4111
2018-08-10,151.4117,658655.4428,196.7734,147.8084,157.5650
2018-08-09,150.7674,1101641.1357,188.4171,147.7518,157.5641
2018-08-08,150.1532,1961497.0054,180.4087,147.6801,157.3939
2018-08-07,149.6324,2490430.2522,170.5271,147.5928,157.0665
2018-08-06,149.3196,2139436.6254,160.5962,147.5143,156.5770
2018-08-03,149.0771,1878051.3815,152.9372,147.4409,155.8738
2018-08-02,148.8164,2426410.7229,145.2935,147.3571,154.9399
2018-08-01,148.5182,2854113.6481,142.2727,147.2730,153.8142
2018-07-31,148.1576,4127110.7578,139.8805,147.1453,152.5570
2018-07-30,147.7825,4336373.5821,143.2061,147.0403,151.3032
2018-07-27,147.3772,5635951.7944,148.0525,146.9175,150.0732
2018-07-26,146.9764,5577915.7655,154.4370,146.7929,148.9732
2018-07-25,146.6185,5163475.1534,151.1827,146.6775,148.0533
2018-07-24,146.4034,3997849.3476,151.8866,146.6085,147.3087
2018-07-23,146.2895,3063825.6112,142.7043,146.5336,146.6773
2018-07-20,146.3239,1463396.1213,116.5737,146.4671,146.1941
2018-07-19,146.4289,394652.2417,100.4062,146.4396,145.8292
2018-07-18,146.5418,941004.4665,86.0060,146.4247,145.4977
2018-07-17,146.5854,386571.6901,73.1697,146.4022,145.1872
2018-07-16,146.5935,-201937.8805,68.2820,146.4024,144.9163
2018-07-13,146.6158,114635.0686,63.2020,146.3915,144.6606
2018-07-12,146.6705,134820.1622,57.7441,146.3768,144.4696
2018-07-11,146.7762,-660895.6768,46.6509,146.3813,144.3651
2018-07-10,146.8070,-275179.9569,40.6591,146.3755,144.3404
2018-07-09,146.8885,-910959.8040,34.8172,146.3613,144.4508
2018-07-06,147.0832,-1527811.7517,29.9986,146.3654,144.7219
2018-07-05,147.3938,-1964010.2957,20.6568,146.3839,145.1174
2018-07-03,147.6620,-2083411.5680,15.4180,146.3887,145.6217
2018-07-02,148.0536,-2358313.7271,5.9850,146.4018,146.2570
2018-06-29,148.4347,-3224918.5567,-3.6296,146.4325,146.9780
2018-06-28,148.7675,-3143554.1703,-8.8201,146.4638,147.7244
2018-06-27,149.1271,-2914119.7413,-21.2424,146.4902,148.4760
2018-06-26,149.4545,-1860770.5433,-34.6956,146.5031,149.2208
2018-06-25,149.7685,-1256287.3645,304.1333,146.5234,149.9414
