DATE,SMA,EMA,MACD,RSI,ADX
2019-02-15,202.5130,202.8919,3.2885,71.2126,27.6332
2019-02-14,202.0160,202.0989,3.1148,71.7783,26.2353
2019-02-13,201.2370,201.1009,2.8345,73.8077,25.2866
2019-02-12,200.3500,199.7700,2.3845,66.6441,22.3357
2019-02-11,199.5640,199.0811,2.2052,62.3880,20.0914
2019-02-08,198.7850,198.6703,2.1419,58.1520,19.9526
2019-02-07,198.3350,198.5481,2.2039,65.0976,20.5600
2019-02-06,197.4590,197.9988,2.0678,65.8845,20.4877
2019-02-05,196.6000,197.2830,1.8436,64.9307,19.2802
2019-02-04,195.9500,196.5192,1.5815,61.6286,18.8361
2019-02-01,195.4830,195.9657,1.3982,70.2644,18.7655
2019-01-31,194.1900,194.7381,0.8913,65.5522,17.1352
2019-01-30,193.1610,193.8355,0.5052,64.4592,15.6754
2019-01-29,192.2230,192.8612,0.0641,57.7883,14.3587
2019-01-28,191.7860,192.3836,-0.1729,53.1808,12.9772
2019-01-25,191.6560,192.2155,-0.2825,57.9945,14.3944
2019-01-24,191.2710,191.6590,-0.5792,51.8928,13.6567
2019-01-23,191.3700,191.5255,-0.6990,52.9336,15.0331
2019-01-22,191.4070,191.2800,-0.8794,57.3852,16.5624
2019-01-18,191.1210,190.6267,-1.2587,57.7149,18.3598
2019-01-17,190.3620,189.8015,-1.7368,43.6912,19.2078
2019-01-16,190.3340,190.0774,-1.7332,43.5455,20.3259
2019-01-15,190.2650,190.4257,-1.6984,44.2255,19.5807
2019-01-14,190.4150,190.7780,-1.6628,47.8976,18.7526
2019-01-11,190.5320,190.8087,-1.7765,50.4089,18.7806
2019-01-10,189.6980,190.5795,-2.0179,48.4423,19.3642
2019-01-09,188.5490,190.5150,-2.1980,53.0915,20.0126
2019-01-08,187.4130,189.9072,-2.6381,52.6620,21.7110
2019-01-07,186.8990,189.2199,-3.1361,49.9568,23.5981
2019-01-04,186.6740,188.7443,-3.5591,41.4988,24.7472
2019-01-03,187.5990,189.1875,-3.5779,43.7052,25.8588
2019-01-02,188.1100,189.3892,-3.7055,42.8835,25.0764
2018-12-31,188.9120,189.7379,-3.7678,46.2091,25.4884
2018-12-28,189.8900,189.6041,-4.0490,48.1702,26.6349
2018-12-27,190.8520,189.1139,-4.4987,33.8965,27.9349
2018-12-26,192.5620,190.3614,-4.1611,24.6353,28.6086
2018-12-24,194.7500,192.8017,-3.2502,26.6852,26.9983
2018-12-21,196.3970,195.2265,-2.2959,32.4685,23.4407
2018-12-20,197.8730,196.8635,-1.6523,33.8510,20.5150
2018-12-19,198.9230,198.5865,-0.9340,42.9159,17.7076
2018-12-18,200.1290,199.1613,-0.7052,37.1807,15.7485
2018-12-17,201.9110,200.4438,-0.1372,40.6293,14.7643
