DATE,HT_TRENDLINE,ADOSC,HT_DCPHASE,MAMA,T3
2019-02-15,196.8117,3595929.0080,184.6666,202.4037,202.2217
2019-02-14,196.2872,3516062.7997,181.8820,202.3627,201.3439
2019-02-13,195.8538,3980016.4256,182.2952,202.3200,200.5090
2019-02-12,195.4609,3489654.2117,181.8872,202.2719,199.7460
2019-02-11,195.1286,2999610.9904,175.2719,202.2658,199.0459
2019-02-08,194.8920,2980098.3973,176.1362,202.2793,198.2986
2019-02-07,194.5230,3009637.9861,172.8070,202.3102,197.4586
2019-02-06,194.0295,3507496.1514,165.4439,202.3232,196.5216
2019-02-05,193.5282,3271420.1548,157.4188,202.3344,195.5627
2019-02-04,192.9604,2799306.1820,150.6098,202.3507,194.6203
2019-02-01,192.3221,2584866.3273,151.9931,202.3844,193.7192
2019-01-31,191.7619,2982986.4079,157.2119,202.3935,192.8837
2019-01-30,191.2537,2422405.1810,165.8822,202.4298,192.1949
2019-01-29,190.7465,2137628.9590,180.4979,202.4723,191.6132
2019-01-28,190.1969,2135830.5626,218.1456,202.5477,191.1208
2019-01-25,189.6929,1544839.8562,225.3071,202.6427,190.6487
2019-01-24,189.3606,1696484.3313,220.8297,202.7227,190.1803
2019-01-23,189.2389,1810491.1893,208.2266,202.8284,189.7559
2019-01-22,189.2710,1958372.9321,191.6258,202.9314,189.3459
2019-01-18,189.5156,1989937.3852,168.4884,203.0194,188.9913
2019-01-17,189.9167,1417257.3573,142.8652,203.1071,188.7294
2019-01-16,190.6085,1267597.6718,102.9502,203.2540,188.5120
2019-01-15,191.2057,1427314.4320,87.0194,203.4030,188.1957
2019-01-14,191.7840,1596508.6408,73.0540,203.5501,187.7903
2019-01-11,192.2760,1159285.1020,53.6949,203.6805,187.3419
2019-01-10,192.5391,673223.1441,43.5879,203.8001,186.9408
2019-01-09,192.7288,208176.4900,34.8157,203.9307,186.6648
2019-01-08,192.9591,389838.8932,32.1444,204.0385,186.5699
2019-01-07,193.5886,272588.6176,23.7847,204.1500,186.7657
2019-01-04,194.3581,-215101.4316,17.6721,204.2792,187.2724
2019-01-03,195.0696,-989832.6867,11.7231,204.4563,188.0533
2019-01-02,195.4829,-850965.7774,6.5888,204.6197,189.0424
2018-12-31,196.0168,-2091180.3386,0.8296,204.7894,190.3030
2018-12-28,196.7378,-2768859.3148,-7.6819,204.9353,191.8520
2018-12-27,197.5161,-3395712.0904,-11.9282,205.0679,193.7116
2018-12-26,198.5766,-5200012.1043,-16.5462,205.2858,195.7606
2018-12-24,199.5548,-6270162.3374,-29.4683,205.5475,197.6604
2018-12-21,200.2830,-5250953.9212,-39.4891,205.7864,199.2297
2018-12-20,200.8477,-3265765.7736,303.3964,205.9675,200.4817
2018-12-19,201.3820,-2730739.0414,288.2925,206.1378,201.4997
2018-12-18,201.5418,-1745194.9239,267.9737,206.2402,202.2969
2018-12-17,201.6008,-1334033.1664,243.8252,206.3700,202.9631
2018-12-14,201.4856,-549215.6541,218.2701,206.4763,203.4163
2018-12-13,201.0220,110914.9806,219.1191,206.5405,203.7151
2018-12-12,200.3676,-55756.8608,222.3164,206.5922,203.9374
2018-12-11,199.6665,706691.5023,221.3449,206.6527,204.0709
2018-12-10,198.9835,1033333.3240,219.3677,206.7072,204.0563
2018-12-07,198.4976,820547.4503,215.9899,206.7915,203.8586
2018-12-06,198.0584,1292847.7831,209.6589,206.8336,203.4240
2018-12-04,198.0389,992655.7649,210.0908,206.9066,202.8585
2018-12-03,197.9371,1984508.2958,217.8922,206.8949,202.2016
2018-11-30,197.6812,1940533.0738,223.3809,206.8513,201.7105
2018-11-29,197.2021,816044.7179,222.7571,206.8765,201.4299
2018-11-28,196.6505,352964.4662,216.9262,206.9069,201.1903
2018-11-27,196.3383,-619484.3765,213.1882,206.9565,200.9396
2018-11-26,195.9702,-1166803.5440,202.9657,207.0357,200.5741
2018-11-23,195.6984,-1076742.2010,198.0625,207.1212,199.9828
2018-11-21,195.3192,-389158.2948,186.2106,207.2158,199.1274
2018-11-20,194.9059,608591.2732,174.1897,207.2919,198.0152
2018-11-19,194.6328,1520745.3231,171.6281,207.3294,196.7590
2018-11-16,194.5332,1668007.7108,155.6211,207.3243,195.5160
2018-11-15,194.6066,798798.9325,137.2943,207.3656,194.3751
2018-11-14,194.8009,96686.9441,118.2119,207.4629,193.2191
2018-11-13,194.9250,693207.5485,91.3169,207.5302,191.9798
2018-11-12,194.9469,1443025.4984,74.0213,207.6313,190.7775
2018-11-09,195.1417,2365750.3914,57.7161,207.7027,189.6576
2018-11-08,195.6040,2486039.2068,43.8478,207.7401,188.8222
2018-11-07,196.5043,1570058.1796,34.5292,207.8081,188.4244
2018-11-06,197.6171,730419.3866,27.3531,207.9154,188.4429
2018-11-05,198.2987,347255.0490,21.2468,208.0633,188.8292
2018-11-02,198.7208,575045.5772,15.3988,208.2104,189.5530
2018-11-01,198.8525,746134.0857,11.7574,208.3574,190.6601
2018-10-31,199.1219,624192.1336,9.7131,208.5367,192.1478
2018-10-30,200.0183,824766.5777,8.5690,208.7168,193.9222
2018-10-29,201.3158,-8449.6296,10.1072,208.9379,195.9049
2018-10-26,202.9510,-13900.6593,13.1974,209.1509,197.9243
2018-10-25,204.5364,-203497.8689,14.8391,209.4119,199.8781
2018-10-24,205.8301,124597.5282,11.3217,209.6427,201.5990
2018-10-23,206.9198,974104.0024,4.2429,209.8199,203.1265
2018-10-22,207.8885,-563927.0665,-4.8705,210.0322,204.5308
2018-10-19,208.7135,-669460.2211,-19.4865,210.1209,205.7949
2018-10-18,209.5208,-1031785.4304,-28.5944,210.2219,207.1771
2018-10-17,210.3023,-1480639.1598,-37.2482,210.3015,208.6208
2018-10-16,211.0245,-2319470.5685,314.6733,210.3875,210.0992
2018-10-15,211.4789,-3152565.0459,304.5266,210.4878,211.4869
2018-10-12,211.8255,-3154169.1744,283.7183,210.6158,212.6252
2018-10-11,212.0633,-2559639.2610,254.9693,210.7142,213.3747
2018-10-10,212.2571,-1201606.3611,215.8588,210.8108,213.7486
2018-10-09,212.2049,-139807.4343,190.3505,210.8272,213.7831
2018-10-08,211.9622,175592.6434,185.0959,210.8085,213.6854
2018-10-05,211.6327,-349192.3948,183.6114,210.7850,213.5479
2018-10-04,211.1988,-492753.0238,190.4916,210.7490,213.4041
2018-10-03,210.6755,-612565.7099,207.0880,210.7076,213.3006
2018-10-02,210.1343,-774730.4712,214.0210,210.6541,213.2566
2018-10-01,209.7388,-1525882.9051,209.4834,210.6367,213.2604
2018-09-28,209.3380,-1756922.2448,207.3648,210.6189,213.2017
2018-09-27,208.9707,-2155874.4009,205.8297,210.6299,213.0417
2018-09-26,208.6091,-1621091.5324,205.2582,210.6160,212.7216
2018-09-25,208.3672,-1109666.2532,199.6155,210.6072,212.3089
2018-09-24,208.3507,-342337.5924,201.4301,210.5716,211.8424
2018-09-21,208.3984,287512.4656,212.0569,210.5229,211.4379
2018-09-20,208.2867,994279.6610,216.1119,210.4543,211.1730
2018-09-19,208.0804,930882.0932,215.6033,210.4114,211.0879
2018-09-18,207.9091,689876.3909,212.2604,210.3977,211.0905
2018-09-17,207.7474,221970.5698,206.8596,210.3993,211.0719
2018-09-14,207.5202,91041.0602,200.2417,210.4290,210.9433
2018-09-13,207.3282,431198.8273,195.2315,210.4450,210.6189
2018-09-12,207.0134,449470.1014,190.8001,210.4764,210.1127
2018-09-11,206.5027,1965673.7399,187.0098,210.4580,209.4310
2018-09-10,206.0781,2097374.2057,180.3080,210.4488,208.7069
2018-09-07,205.7163,2876901.0684,179.6916,210.4162,207.9615
2018-09-06,205.4240,2351077.5257,168.9447,210.3978,207.2665
2018-09-05,205.2601,2105602.8379,165.3703,210.3816,206.6077
2018-09-04,205.2086,1868853.2679,147.7104,210.4027,205.9833
2018-08-31,205.1692,2339363.3560,119.6416,210.4012,205.3586
2018-08-30,205.0890,2409355.8092,101.1171,210.4096,204.8236
2018-08-29,205.0490,2495856.7841,73.3522,210.4167,204.4032
2018-08-28,205.1068,2265109.6954,56.4592,210.4293,204.1405
2018-08-27,205.1666,2158498.2780,40.1013,210.4440,204.0513
2018-08-24,205.2821,1678698.7002,25.8401,210.4871,204.1262
2018-08-23,205.3683,1337743.2592,8.6218,210.5599,204.2902
2018-08-22,205.2490,1295514.8713,-15.5916,210.6363,204.4925
2018-08-21,204.9652,1461941.8180,-42.3033,210.6854,204.7658
2018-08-20,204.6820,1232171.7540,308.6095,210.7429,205.1834
2018-08-17,204.2894,1162332.3187,276.9114,210.7936,205.7248
2018-08-16,204.2127,535654.5723,258.8100,210.8695,206.3571
2018-08-15,204.1897,-48187.2231,239.7632,210.9589,206.9556
2018-08-14,204.1178,-632670.3933,214.4149,211.0771,207.4034
2018-08-13,203.9327,-593899.0067,198.5248,211.1913,207.5782
2018-08-10,203.5158,73194.4316,183.4591,211.2839,207.4636
2018-08-09,203.0329,708166.9577,172.9129,211.3594,207.1028
2018-08-08,202.4401,1533712.2624,170.2261,211.4020,206.5556
2018-08-07,201.8825,2036035.4675,170.8917,211.4314,205.9104
2018-08-06,201.4244,2259925.6002,167.6206,211.4660,205.1985
2018-08-03,200.8554,2378040.2912,169.8373,211.5065,204.4106
2018-08-02,200.4017,2400572.7494,170.9437,211.5630,203.5429
2018-08-01,200.0234,2686340.1743,173.1601,211.6197,202.6068
2018-07-31,199.6147,3541562.2001,181.4112,211.6261,201.6940
2018-07-30,199.2173,3375617.3050,190.7840,211.6705,200.9609
2018-07-27,198.8076,4591816.6641,195.0664,211.7051,200.3883
2018-07-26,198.5552,5211495.6065,191.3690,211.7356,200.0413
2018-07-25,198.4950,4351243.7583,179.0465,211.8048,199.9055
2018-07-24,198.5992,2935636.1806,159.6708,211.9177,199.8310
2018-07-23,198.7938,1280769.8327,138.2332,212.1094,199.6473
2018-07-20,198.8701,1663361.6620,121.1025,212.2161,199.2266
2018-07-19,198.9368,1214523.3503,104.8366,212.3463,198.7658
2018-07-18,198.9596,894213.9483,90.1851,212.4532,198.2509
2018-07-17,198.9028,937310.5679,83.9979,212.5566,197.7676
2018-07-16,198.9328,734620.9306,77.7371,212.6734,197.3476
2018-07-13,199.0738,553508.8486,64.9240,212.7858,196.9958
2018-07-12,199.1995,415124.7101,58.7210,212.9122,196.7466
2018-07-11,199.4398,387337.0860,47.2612,213.0510,196.5981
2018-07-10,199.6299,876115.5186,35.8951,213.1847,196.5688
2018-07-09,199.7698,669963.0385,29.8303,213.3077,196.7130
2018-07-06,200.0528,11156.6837,19.1586,213.4609,197.0591
2018-07-05,200.3086,-414226.1037,14.5649,213.6263,197.5447
2018-07-03,200.6243,-1006406.8303,2.9295,213.7935,198.1477
2018-07-02,200.8876,-839258.3330,-10.0647,213.9683,198.8557
2018-06-29,201.1155,-1017162.3758,-24.1379,214.1553,199.6326
2018-06-28,201.2741,-252964.5800,-40.1810,214.3339,200.4353
2018-06-27,201.3801,-41551.7880,302.2341,214.5242,201.2476
2018-06-26,201.4426,1001355.1166,283.6698,214.7055,202.0110
2018-06-25,201.4949,1220515.4500,264.5999,214.8860,202.6982
2018-06-22,201.5543,833204.7969,244.9224,215.0769,203.2509
2018-06-21,201.5765,1078643.5814,225.5169,215.2556,203.5988
2018-06-20,201.5688,1810073.5173,206.7668,215.4315,203.7252
2018-06-19,201.5128,2390636.4287,189.3799,215.5941,203.6096
2018-06-18,201.4375,2545295.6489,172.5908,215.7388,203.2728
2018-06-15,201.2663,1374310.3719,158.2866,215.8723,202.7552
2018-06-14,201.0636,8125.3322,144.3029,216.0068,202.0944
2018-06-13,200.8417,751111.0117,130.0126,216.1103,201.3366
2018-06-12,200.7223,834675.9901,112.8138,216.2212,200.5907
2018-06-11,200.6821,1183179.9019,94.0196,216.3277,199.8952
2018-06-08,200.6434,1730007.9459,74.6715,216.4261,199.3202
2018-06-07,200.6098,1131266.8984,54.9183,216.5417,198.9237
2018-06-06,200.5378,873402.6275,34.4027,216.6666,198.6993
2018-06-05,200.4422,456787.3777,13.7829,216.8163,198.6398
2018-06-04,200.2704,852016.0848,-9.0545,216.9753,198.7029
2018-06-01,200.0394,776959.8668,311.6358,217.1394,198.8717
2018-05-31,199.8746,837091.4625,291.2037,217.3251,199.1144
2018-05-30,199.7470,1116791.2455,272.7539,217.5192,199.3592
2018-05-29,199.6568,1085914.2360,255.2918,217.7256,199.5597
2018-05-25,199.6630,1565218.0841,237.6348,217.9248,199.6721
2018-05-24,199.8070,1248890.8969,204.8850,218.1228,199.6942
2018-05-23,200.2136,836249.7297,174.3022,218.3176,199.6117
2018-05-22,200.8650,482475.3988,140.4014,218.5255,199.4153
2018-05-21,201.6965,1392649.8209,113.9104,218.6928,199.0971
2018-05-18,202.5812,1763905.5750,95.0979,218.8766,198.7365
2018-05-17,203.5164,2614317.7998,80.1868,219.0644,198.2937
2018-05-16,204.4660,2841403.8181,67.0909,219.2644,197.7738
2018-05-15,205.3469,3174759.8626,54.2162,219.4537,197.2139
2018-05-14,206.1663,3659909.9283,35.0726,219.6001,196.7512
2018-05-11,206.8012,2963926.0735,22.4150,219.7408,196.5816
2018-05-10,207.5620,2161021.9091,5.9197,219.8923,196.7981
2018-05-09,208.3268,1569743.1609,-4.9191,220.0669,197.4379
2018-05-08,209.3013,1045920.2806,-18.2088,220.2491,198.5031
2018-05-07,210.2104,108808.1543,-30.6352,220.4536,199.9974
2018-05-04,211.3318,-398862.6973,-39.3692,220.6596,201.8637
2018-05-03,212.6210,-1645301.6882,-44.1291,220.9181,204.0222
2018-05-02,214.0724,-2401475.6002,313.8602,221.1848,206.2737
2018-05-01,215.8709,-2301254.1957,-24.5092,221.4477,208.5008
2018-04-30,217.6366,-3412446.5819,22.2782,221.7247,210.5816
2018-04-27,219.1392,-2635843.2469,40.7516,221.9748,212.3619
2018-04-26,220.1762,-2954856.6058,46.1332,222.2294,213.7560
2018-04-25,220.9022,-2375169.0223,47.1212,222.4673,214.6352
2018-04-24,221.1724,-1931017.7555,48.6378,222.6831,214.9678
2018-04-23,221.2698,-1515766.3362,51.5354,222.8466,214.8209
2018-04-20,221.5238,-1231286.8479,48.9709,222.8954,214.4129
2018-04-19,221.8455,-1109546.0599,45.6820,222.9407,214.0495
2018-04-18,222.2496,-1445151.3594,39.0761,222.9902,213.7854
2018-04-17,222.3870,-1262265.6015,35.3605,223.0164,213.6791
2018-04-16,222.5887,-1294472.8237,32.2517,223.0555,213.8241
2018-04-13,222.8644,-1207712.7789,29.5337,223.1146,214.2202
2018-04-12,223.1964,-1002329.3628,26.4887,223.1654,214.8583
2018-04-11,223.6323,-1065000.9564,23.9167,223.2406,215.7610
2018-04-10,224.2189,-881343.5220,21.6006,223.3319,216.8748
2018-04-09,224.9086,-667472.0896,18.7147,223.4128,218.1779
2018-04-06,225.7537,16513.2633,15.3403,223.5104,219.6931
2018-04-05,226.8286,297140.6385,9.5627,223.5722,221.4037
2018-04-04,227.8184,-410182.4624,6.3279,223.6220,223.3629
2018-04-03,229.1626,-1767302.3034,3.7815,223.7354,225.4917
2018-04-02,230.6806,-2962483.4310,-2.7498,223.8439,227.5759
2018-03-29,231.8134,-2997020.2001,-13.1727,223.9024,229.5778
2018-03-28,232.7796,-3367298.3396,-33.7099,223.9641,231.5075
2018-03-27,233.6740,-3419251.5814,310.9982,224.0322,233.2376
2018-03-26,234.4855,-3401933.7797,285.3867,224.0626,234.6513
2018-03-23,235.4653,-4030322.9127,259.3027,224.1252,235.7051
2018-03-22,236.2142,-2444966.5540,182.4073,224.1315,236.2907
2018-03-21,236.3702,-1243783.2538,145.0708,224.0517,236.5474
2018-03-20,236.3255,-1106815.9731,116.7504,223.9613,236.6384
2018-03-19,236.2108,-840536.7014,97.4164,223.8789,236.5508
2018-03-16,235.9514,-514608.3498,68.6494,223.7563,236.2723
2018-03-15,235.5110,-769199.7512,262.4314,223.6360,235.8865
2018-03-14,235.0468,-313766.3164,256.7809,223.5190,235.4025
2018-03-13,234.4906,677587.4673,250.6791,223.3646,234.8783
2018-03-12,233.9647,1488577.0655,243.2047,223.1875,234.4647
2018-03-09,233.6517,1926186.1627,231.2997,222.9965,234.2532
2018-03-08,233.5014,1334213.2400,215.1814,222.8449,234.2503
2018-03-07,233.5402,1011451.2843,192.6451,222.7085,234.3224
2018-03-06,234.0514,368303.5582,180.7003,222.6225,234.3566
2018-03-05,234.9083,38575.1212,147.6160,222.5071,234.2006
2018-03-02,235.9957,-585404.8306,120.1224,222.4314,233.8522
2018-03-01,237.1340,-846143.3032,89.2538,222.3575,233.2200
2018-02-28,237.9228,144562.9063,74.4946,222.2182,232.4014
2018-02-27,238.6025,1166913.4857,60.4385,222.0220,231.6784
2018-02-26,239.2355,1553491.4088,46.4976,221.7938,231.2885
2018-02-23,240.0142,812108.8838,26.7504,221.6199,231.3357
2018-02-22,240.6889,675779.4436,14.7541,221.4661,231.7293
2018-02-21,241.4225,824658.3935,-1.7715,221.3553,232.4451
2018-02-20,241.9300,1829430.0437,-18.2372,221.2204,233.4526
2018-02-16,242.1801,1942154.7929,-35.9079,221.0859,234.8531
