DATE,SMA,EMA,MACD,RSI,ADX,CCI,WMA,TRIX,MINUS_DI,PLUS_DI,HT_TRENDLINE,ADOSC,HT_DCPHASE,MAMA,T3
2019-02-15,30.258000000000003,30.3182,1.172,83.0432,57.7033,166.8288,30.4891,0.6502,6.2713,38.8341,28.7925,859002.0317,219.8011,29.6465,30.7294
2019-02-14,30.131,30.1423,1.1682,82.0259,56.0934,135.6869,30.3111,0.6745,7.435,33.9143,28.5121,13057.8149,211.6113,29.6318,30.6403
2019-02-13,30.026999999999997,29.9606,1.1617,78.8241,55.2106,165.3931,30.1415,0.7065,8.0041,32.772,28.2561,2127388.3504,206.6985,29.6183,30.5579
2019-02-12,29.971,29.8318,1.1793,78.8241,54.5961,224.2884,30.038,0.7497,8.7468,35.813,27.9696,3051080.4962,201.4054,29.609,30.4756
2019-02-11,29.918000000000003,29.6744,1.1846,74.0011,53.9133,143.6567,29.9249,0.7983,9.6939,29.2127,27.6266,4843327.5487,195.2167,29.5996,30.3807
2019-02-08,29.879,29.6021,1.2291,73.1869,54.3294,35.5805,29.9029,0.858,10.4316,28.7299,27.2798,2899862.8182,190.8717,29.5956,30.2649
2019-02-07,29.885,29.5314,1.2761,77.5592,55.1743,81.8233,29.8965,0.9157,10.6529,30.9183,26.9461,3054538.4774,187.3144,29.5923,30.1103
2019-02-06,29.85,29.4095,1.3013,76.7789,55.8883,88.8473,29.8547,0.9671,11.437000000000001,33.1939,26.5782,1559830.0796,184.4941,29.5874,29.9115
2019-02-05,29.848000000000003,29.2827,1.3247,74.9777,56.6816,29.142,29.8307,1.0154,12.3614,33.1827,26.2657,-401351.9106,181.2,29.5834,29.6664
2019-02-04,29.523000000000003,29.1789,1.3588,74.5922,57.8999,8.8059,29.7895,1.0572,13.2422,31.3906,26.0501,-2934784.6916,175.907,29.5817,29.3673
2019-02-01,29.194000000000003,29.0631,1.3875,77.6057,59.8153,37.527,29.6975,1.0823,8.3202,34.2256,25.9074,-4570896.4284,174.0834,29.5805,29.0077
2019-01-31,28.831999999999997,28.8905,1.3898,79.2524,59.6961,55.7484,29.5142,1.0828,5.3514,36.3207,25.7437,-3797448.0771,173.223,29.5779,28.5911
2019-01-30,28.416,28.6617,1.3644,80.404,58.0716,62.9867,29.2407,1.0565,5.604,38.0352,25.5551,-4191583.0597,172.6039,29.5745,28.13
2019-01-29,27.999000000000002,28.3687,1.3059,80.9332,56.2666,67.3745,28.8805,1.002,6.0082,40.7782,25.3385,-4223561.2262,170.0998,29.5704,27.6405
2019-01-28,27.576999999999998,28.004,1.2093,79.2981,54.261,89.4387,28.4382,0.9208,6.5044,44.1462,25.1325,-1505466.5745,170.8433,29.5659,27.1433
2019-01-25,27.173000000000002,27.6471,1.1091,85.3945,52.0327,121.1859,27.9951,0.8185,4.3219,48.2698,24.9065,92701.503,168.8719,29.5655,26.6607
