DATE,SMA,EMA,MACD,RSI,ADX
2019-02-15,148.9630,148.8826,3.3913,73.3698,42.0685
2019-02-14,148.6330,148.1898,3.2798,71.1047,40.3617
2019-02-13,147.8200,147.5809,3.1988,71.4113,39.2400
2019-02-12,146.9670,146.8233,3.0428,67.6689,36.8668
2019-02-11,146.1320,146.2952,2.9816,67.2158,35.2097
2019-02-08,145.2660,145.6963,2.8815,65.0984,34.0338
2019-02-07,144.7180,145.1888,2.8147,64.4644,33.1381
2019-02-06,144.0400,144.6375,2.7200,69.2877,32.0569
2019-02-05,143.2230,143.6702,2.4253,68.3346,29.3836
2019-02-04,142.4790,142.6192,2.0738,61.1199,26.7483
2019-02-01,142.2090,142.2057,1.9942,78.4345,24.1091
2019-01-31,141.0700,140.7625,1.4339,66.4892,21.1768
2019-01-30,140.5420,140.3097,1.2987,65.4980,20.5836
2019-01-29,140.0390,139.8318,1.1418,60.5216,20.1542
2019-01-28,139.5880,139.6056,1.0888,58.7940,20.8896
2019-01-25,139.2300,139.4446,1.0583,70.3578,23.0049
2019-01-24,138.5020,138.7656,0.7831,65.8762,22.1786
2019-01-23,138.0330,138.2936,0.5843,65.6731,21.8364
2019-01-22,137.5570,137.7321,0.3292,66.3842,22.0578
2019-01-18,136.8950,137.0148,-0.0154,70.4029,22.4248
2019-01-17,135.9790,135.9559,-0.5386,57.8989,20.6839
2019-01-16,135.4580,135.6550,-0.7433,58.9520,20.1228
2019-01-15,134.7250,135.2405,-1.0153,58.6620,21.3598
2019-01-14,134.1380,134.7540,-1.3384,55.2130,23.3549
2019-01-11,133.7160,134.4015,-1.6204,56.8178,25.6918
2019-01-10,132.8030,133.8797,-1.9985,52.1464,27.8234
2019-01-09,131.7830,133.5818,-2.2962,55.6146,30.1917
2019-01-08,131.0230,133.0000,-2.7426,55.2318,33.2110
2019-01-07,130.4180,132.3200,-3.2582,50.5123,36.5658
2019-01-04,130.2570,131.8711,-3.6938,45.3248,39.5559
2019-01-03,130.5500,131.7047,-4.0209,43.7196,42.0555
2019-01-02,130.9350,131.6168,-4.3270,37.6702,42.8824
2018-12-31,131.4990,131.9339,-4.4602,40.4790,42.8750
2018-12-28,132.0860,132.0169,-4.7050,41.6206,43.2766
2018-12-27,132.7850,131.9940,-5.0059,26.6615,43.7229
2018-12-26,133.9000,132.9661,-4.8590,15.3873,42.9142
2018-12-24,135.3770,134.7318,-4.3361,19.0086,40.0058
2018-12-21,136.3870,136.0945,-3.9701,20.7386,36.9977
2018-12-20,137.4690,137.4466,-3.5888,24.6305,34.8057
2018-12-19,138.2210,138.4947,-3.3268,29.8591,32.3818
2018-12-18,139.4960,139.1491,-3.2312,30.6908,30.5462
2018-12-17,140.9010,139.8600,-3.1029,30.1656,29.3434
2018-12-14,141.9080,140.7556,-2.8818,33.1830,28.0069
2018-12-13,142.5950,141.4946,-2.7206,36.6472,27.5192
2018-12-12,143.0520,142.0245,-2.6464,35.4192,27.8325
2018-12-11,143.4130,142.7477,-2.4784,37.3752,28.3374
2018-12-10,143.8210,143.4050,-2.3319,33.8624,28.4280
2018-12-07,144.2150,144.4505,-2.0000,37.5686,27.8587
2018-12-06,144.6270,145.2551,-1.7641,35.8479,28.1393
2018-12-04,145.1720,146.3673,-1.3784,54.6702,27.4646
2018-12-03,145.1850,145.9378,-1.6856,60.7308,28.9543
2018-11-30,144.9330,145.0351,-2.2263,48.2875,29.1679
2018-11-29,144.9080,144.8429,-2.4665,41.8115,31.9120
2018-11-28,145.3430,144.9636,-2.5744,39.1542,34.7051
2018-11-27,145.7700,145.2488,-2.6116,33.4159,34.9032
2018-11-26,146.5490,145.8863,-2.4886,37.0170,34.0608
2018-11-23,147.1710,146.3344,-2.4472,31.5354,33.1247
2018-11-21,147.9110,147.1554,-2.2335,36.9746,31.4762
2018-11-20,148.4210,147.6455,-2.1635,38.9371,30.6542
2018-11-19,148.6200,148.0778,-2.1190,47.1322,29.7409
2018-11-16,148.3360,147.9996,-2.3094,43.4014,31.0644
2018-11-15,148.1490,148.1150,-2.4220,35.5117,31.5958
2018-11-14,148.1280,148.6628,-2.3442,44.7064,31.5384
2018-11-13,147.7530,148.6656,-2.5163,41.5270,32.8467
2018-11-12,147.1040,148.8247,-2.6280,49.6806,34.3002
2018-11-09,146.5990,148.5257,-2.9585,49.3581,36.4367
2018-11-08,146.1640,148.1781,-3.3291,49.1749,39.4617
2018-11-07,145.8780,147.7643,-3.7486,49.2069,43.6131
2018-11-06,145.9400,147.2564,-4.2305,41.0472,48.2258
2018-11-05,146.1090,147.1600,-4.5438,32.3428,51.6862
2018-11-02,146.9270,147.5089,-4.6637,32.3838,54.4414
2018-11-01,147.9760,147.9309,-4.7510,31.7219,56.0017
2018-10-31,149.1500,148.4844,-4.7761,29.7562,56.7561
2018-10-30,150.6100,149.2809,-4.6836,15.8694,57.7890
2018-10-29,152.1700,151.0189,-4.1471,19.5750,55.2358
2018-10-26,153.2310,152.3298,-3.7747,20.2976,52.3989
2018-10-25,154.1700,153.7942,-3.3076,21.9948,50.1026
2018-10-24,155.1080,155.2640,-2.8100,26.9012,47.8672
2018-10-23,156.1150,156.2849,-2.4893,21.0419,45.3834
2018-10-22,157.6010,157.8193,-1.9124,27.8886,43.0279
2018-10-19,158.6260,158.7192,-1.5952,33.0210,41.6701
2018-10-18,159.5150,159.3012,-1.4044,35.7669,40.6735
2018-10-17,160.2970,159.7726,-1.2504,42.6186,40.2894
2018-10-16,161.0160,159.8331,-1.2719,29.9093,41.6637
2018-10-15,161.9010,160.4494,-1.0324,21.3650,42.1760
2018-10-12,162.9650,161.4981,-0.5763,17.2704,39.8578
2018-10-11,163.9900,162.9133,0.0754,19.4419,36.4919
2018-10-10,164.9470,164.3251,0.7604,29.0519,32.7521
2018-10-09,165.4650,165.1218,1.1982,46.2972,29.5731
2018-10-08,165.6230,165.3177,1.3831,44.4311,28.5386
2018-10-05,165.8830,165.6061,1.6214,51.5375,30.1864
2018-10-04,166.0730,165.7431,1.8031,51.6141,32.6056
2018-10-03,166.2330,165.9082,2.0079,66.6890,35.2936
2018-10-02,166.1900,165.7344,2.0680,62.0897,36.3728
2018-10-01,166.1910,165.6954,2.1941,66.9997,35.7260
2018-09-28,166.0540,165.5455,2.2762,61.0306,35.0073
2018-09-27,166.0710,165.5823,2.4488,69.6162,35.3774
2018-09-26,165.9210,165.4606,2.5570,68.4995,36.3236
2018-09-25,165.5950,165.3585,2.6793,67.9954,37.3749
2018-09-24,165.3090,165.2559,2.8066,76.8506,39.2434
2018-09-21,165.0060,164.9528,2.8469,80.0159,40.7692
2018-09-20,164.6540,164.5223,2.8294,79.1873,40.3088
2018-09-19,164.2400,164.0606,2.7954,78.2350,40.4625
2018-09-18,163.5890,163.5719,2.7460,77.3002,38.9090
2018-09-17,162.9040,163.0501,2.6776,74.6487,37.4732
2018-09-14,162.2960,162.6168,2.6450,79.6549,35.8778
2018-09-13,161.7310,161.9649,2.5089,77.3701,34.3927
2018-09-12,161.2840,161.3727,2.3924,71.1200,32.8350
2018-09-11,161.0190,161.0866,2.4095,73.9180,31.9070
2018-09-10,160.5170,160.6703,2.3658,79.8560,31.6252
2018-09-07,159.9370,160.0215,2.2114,79.3342,29.5836
2018-09-06,159.3860,159.2774,2.0045,77.1289,27.4069
2018-09-05,158.8180,158.5701,1.8040,67.9672,24.6425
2018-09-04,158.4390,158.3079,1.7977,64.7812,23.0890
2018-08-31,158.0680,158.1386,1.8328,64.0718,23.5190
2018-08-30,157.5800,157.9649,1.8662,72.6804,23.5807
2018-08-29,156.9110,157.5349,1.7820,75.0894,22.7974
2018-08-28,156.1896,156.9516,1.6220,74.6532,20.5659
2018-08-27,155.4586,156.2719,1.4096,67.6083,18.5684
2018-08-24,154.9856,155.9013,1.3286,67.0104,16.8892
2018-08-23,154.5486,155.4815,1.2213,67.5340,15.9046
2018-08-22,154.2476,154.9530,1.0594,63.5825,14.8105
2018-08-21,154.2016,154.5470,0.9472,60.2789,15.4027
2018-08-20,154.1416,154.2330,0.8739,57.7552,14.7012
2018-08-17,154.0836,153.9826,0.8286,51.6761,15.4042
2018-08-16,154.2536,153.9698,0.8932,47.3920,16.5690
2018-08-15,154.5006,154.1386,1.0471,46.0200,17.9002
2018-08-14,155.1980,154.4038,1.2552,44.8168,18.1899
