DATE,CCI,WMA,TRIX,MINUS_DI,PLUS_DI
2019-02-15,106.4610,203.8289,0.3105,16.7584,39.3024
2019-02-14,82.8722,203.0209,0.2948,18.6638,38.5645
2019-02-13,213.9729,202.0476,0.2763,14.2813,45.0317
2019-02-12,236.9342,200.8222,0.2597,15.9025,39.4436
2019-02-11,61.2344,200.2211,0.2554,18.8611,29.0953
2019-02-08,14.4990,199.8311,0.2537,19.7378,26.4249
2019-02-07,60.3912,199.6702,0.2486,18.1245,27.8831
2019-02-06,111.1510,199.0227,0.2315,16.0943,30.7971
2019-02-05,95.7949,198.1827,0.2082,17.3365,27.8560
2019-02-04,72.5261,197.3155,0.1811,17.9556,26.6391
2019-02-01,110.3650,196.6742,0.1509,14.6305,29.3300
2019-01-31,135.2056,195.3469,0.1124,15.8837,29.6763
2019-01-30,128.8489,194.3216,0.0809,17.0751,30.0449
2019-01-29,149.0233,193.2313,0.0530,19.3475,33.5090
2019-01-28,19.7186,192.6451,0.0337,22.6609,22.7620
2019-01-25,170.8020,192.3753,0.0157,16.7101,25.6121
2019-01-24,39.7002,191.7482,-0.0077,18.7387,18.2689
2019-01-23,26.5381,191.5864,-0.0279,19.4986,19.0098
2019-01-22,41.6224,191.3640,-0.0532,20.8712,20.7110
2019-01-18,188.2309,190.8005,-0.0820,18.9194,23.4663
2019-01-17,-10.3717,190.0773,-0.1040,21.1015,17.5654
2019-01-16,-38.7594,190.3998,-0.1105,23.7304,13.6305
2019-01-15,-51.1279,190.7189,-0.1219,24.8551,14.2766
2019-01-14,47.2403,191.0053,-0.1419,22.8368,15.7061
2019-01-11,70.9459,190.9856,-0.1738,22.0153,16.7684
2019-01-10,100.2736,190.5962,-0.2134,23.2978,17.7452
2019-01-09,104.7029,190.1742,-0.2562,21.3037,19.3806
2019-01-08,86.4875,189.1129,-0.3056,22.3807,20.3604
2019-01-07,75.6740,188.0036,-0.3489,24.3416,18.6435
2019-01-04,67.4501,187.1516,-0.3790,25.9883,19.3100
2019-01-03,-51.9472,187.3060,-0.3937,30.1310,15.2129
2019-01-02,26.4537,187.2751,-0.4079,27.3252,17.7032
2018-12-31,26.7933,187.4736,-0.4147,26.0801,19.2096
2018-12-28,8.4804,187.3918,-0.4139,27.5016,20.3542
2018-12-27,-30.5951,187.2176,-0.3900,29.3663,18.8258
