DATE,CCI,WMA,TRIX,MINUS_DI,PLUS_DI
2019-02-15,166.8288,30.4891,0.6502,6.2713,38.8341
2019-02-14,135.6869,30.3111,0.6745,7.4350,33.9143
2019-02-13,165.3931,30.1415,0.7065,8.0041,32.7720
2019-02-12,224.2884,30.0380,0.7497,8.7468,35.8130
2019-02-11,143.6567,29.9249,0.7983,9.6939,29.2127
2019-02-08,35.5805,29.9029,0.8580,10.4316,28.7299
2019-02-07,81.8233,29.8965,0.9157,10.6529,30.9183
2019-02-06,88.8473,29.8547,0.9671,11.4370,33.1939
2019-02-05,29.1420,29.8307,1.0154,12.3614,33.1827
2019-02-04,8.8059,29.7895,1.0572,13.2422,31.3906
2019-02-01,37.5270,29.6975,1.0823,8.3202,34.2256
2019-01-31,55.7484,29.5142,1.0828,5.3514,36.3207
2019-01-30,62.9867,29.2407,1.0565,5.6040,38.0352
2019-01-29,67.3745,28.8805,1.0020,6.0082,40.7782
2019-01-28,89.4387,28.4382,0.9208,6.5044,44.1462
2019-01-25,121.1859,27.9951,0.8185,4.3219,48.2698
2019-01-24,181.7869,27.4104,0.6893,4.5980,51.3535
2019-01-23,314.9979,26.7947,0.5605,5.1528,52.5126
2019-01-22,123.4492,26.0564,0.4525,8.0988,28.5113
2019-01-18,110.7953,25.9227,0.4195,8.6953,28.0493
2019-01-17,132.7957,25.7716,0.3799,9.4439,29.2119
2019-01-16,118.6779,25.6229,0.3357,10.0983,31.2361
2019-01-15,53.9063,25.5104,0.2862,11.3961,23.6228
2019-01-14,69.5621,25.3471,0.2182,10.6031,24.9997
2019-01-11,85.4051,25.1465,0.1332,11.2997,26.6419
2019-01-10,84.7397,24.9356,0.0328,12.3396,25.7284
2019-01-09,114.7157,24.5987,-0.0880,13.0479,27.9012
2019-01-08,112.5694,24.2691,-0.2113,14.1121,24.8263
2019-01-07,142.7994,23.8975,-0.3366,15.1725,26.5654
2019-01-04,181.5636,23.5496,-0.4495,16.4230,25.7410
2019-01-03,144.4701,23.2936,-0.5417,19.0732,19.4154
2019-01-02,125.8208,23.0411,-0.6149,20.5731,17.6967
