DATE,HT_TRENDLINE,ADOSC,HT_DCPHASE,MAMA,T3
2019-02-15,28.7925,859002.0317,219.8011,29.6465,30.7294
2019-02-14,28.5121,13057.8149,211.6113,29.6318,30.6403
2019-02-13,28.2561,2127388.3504,206.6985,29.6183,30.5579
2019-02-12,27.9696,3051080.4962,201.4054,29.6090,30.4756
2019-02-11,27.6266,4843327.5487,195.2167,29.5996,30.3807
2019-02-08,27.2798,2899862.8182,190.8717,29.5956,30.2649
2019-02-07,26.9461,3054538.4774,187.3144,29.5923,30.1103
2019-02-06,26.5782,1559830.0796,184.4941,29.5874,29.9115
2019-02-05,26.2657,-401351.9106,181.2000,29.5834,29.6664
2019-02-04,26.0501,-2934784.6916,175.9070,29.5817,29.3673
2019-02-01,25.9074,-4570896.4284,174.0834,29.5805,29.0077
2019-01-31,25.7437,-3797448.0771,173.2230,29.5779,28.5911
2019-01-30,25.5551,-4191583.0597,172.6039,29.5745,28.1300
2019-01-29,25.3385,-4223561.2262,170.0998,29.5704,27.6405
2019-01-28,25.1325,-1505466.5745,170.8433,29.5659,27.1433
2019-01-25,24.9065,92701.5030,168.8719,29.5655,26.6607
2019-01-24,24.7028,5046896.3382,166.4085,29.5613,26.2135
2019-01-23,24.5439,7138228.4055,162.2185,29.5596,25.8344
2019-01-22,24.4431,6864705.6549,154.9537,29.5555,25.5327
2019-01-18,24.4201,7448233.9082,136.6463,29.5864,25.2970
2019-01-17,24.4176,8596701.3659,118.1588,29.6185,25.0495
2019-01-16,24.4258,9031654.1712,105.4026,29.6528,24.7903
2019-01-15,24.4770,8941030.0727,86.7407,29.6921,24.5169
2019-01-14,24.5122,8559692.2603,69.5263,29.7314,24.2263
2019-01-11,24.5137,7940048.2022,57.4670,29.7712,23.9302
2019-01-10,24.4998,7270899.6988,41.2265,29.8136,23.6414
2019-01-09,24.4508,6718487.7277,33.6407,29.8532,23.3743
2019-01-08,24.4092,5515672.3586,30.6365,29.8969,23.1536
2019-01-07,24.4003,5082150.5313,23.3484,29.9412,22.9906
2019-01-04,24.4024,4228447.6916,12.8212,29.9895,22.9002
2019-01-03,24.3890,2268296.3891,6.9378,30.0445,22.8853
2019-01-02,24.3696,1678049.1862,2.1877,30.1010,22.9408
2018-12-31,24.3514,-2282222.8080,4.8583,30.1712,23.0633
2018-12-28,24.3836,-4718204.5031,1.2248,30.2384,23.2293
2018-12-27,24.4313,-7112820.4701,0.5713,30.3060,23.4464
2018-12-26,24.5518,-11105961.3893,-0.0193,30.3818,23.7019
2018-12-24,24.7020,-13922072.3478,0.9135,30.4649,23.9632
2018-12-21,24.8647,-13638803.9098,1.5351,30.5471,24.2057
2018-12-20,25.0356,-12039302.1712,-1.3801,30.6233,24.4269
2018-12-19,25.1824,-11911984.7460,-6.3673,30.7006,24.6319
2018-12-18,25.3063,-10762373.3658,-13.7708,30.7733,24.8135
2018-12-17,25.4116,-9715686.0328,-23.5162,30.8454,24.9752
2018-12-14,25.5113,-7648975.9152,-38.1219,30.9145,25.1131
2018-12-13,25.6345,-6281510.9541,-40.7801,30.9851,25.2278
2018-12-12,25.7672,-3986922.6613,-26.9430,31.0494,25.3163
2018-12-11,25.9226,-1856826.8357,41.8809,31.1137,25.3918
2018-12-10,26.0965,-561053.6466,56.0704,31.1723,25.4565
2018-12-07,26.2291,-778992.8927,52.4774,31.2317,25.5211
2018-12-06,26.3638,263854.8484,36.0763,31.2914,25.5798
2018-12-04,26.4952,-1364540.7322,25.8733,31.3597,25.6262
2018-12-03,26.6431,1075961.9718,10.3968,31.4172,25.6523
2018-11-30,26.8523,2181551.8370,10.7767,31.4696,25.6930
2018-11-29,27.0915,1490254.2510,9.9691,31.5249,25.7653
2018-11-28,27.3178,2281414.8368,9.6219,31.5784,25.8686
2018-11-27,27.5718,594022.0854,14.0706,31.6341,26.0077
2018-11-26,27.8314,-699733.3161,17.6583,31.6934,26.1745
2018-11-23,28.0219,-254389.6093,14.6971,31.7518,26.3566
2018-11-21,28.1670,104489.1687,13.1625,31.8146,26.5452
2018-11-20,28.2924,709935.6028,11.9075,31.8794,26.7189
2018-11-19,28.3904,1716971.8526,12.9727,31.9460,26.8645
2018-11-16,28.4673,2332836.6832,12.7712,32.0066,26.9779
2018-11-15,28.5273,2061530.2460,11.2712,32.0638,27.0756
2018-11-14,28.5708,864019.7575,8.6617,32.1185,27.1731
2018-11-13,28.6048,2391715.6050,8.0742,32.1616,27.2894
2018-11-12,28.6872,2841789.0030,4.6471,32.2116,27.4521
2018-11-09,28.8037,3821097.1890,0.5768,32.2583,27.6495
2018-11-08,28.9847,3256626.2440,-6.0938,32.3082,27.8859
2018-11-07,29.2207,1213806.1507,-10.6530,32.3591,28.1465
2018-11-06,29.5120,-1934560.7995,-8.5150,32.4134,28.4155
2018-11-05,29.7837,-3517565.9898,-1.5272,32.4714,28.6695
2018-11-02,30.0028,-2791704.5317,4.7861,32.5318,28.8892
2018-11-01,30.1372,-396997.7382,4.4864,32.5847,29.0718
2018-10-31,30.2385,-1635171.0419,1.7060,32.6201,29.2454
2018-10-30,30.3487,-1509472.7714,2.5151,32.6564,29.4444
2018-10-29,30.5010,-2976648.9387,4.9242,32.7011,29.6520
2018-10-26,30.6727,-2297705.0312,8.7380,32.7453,29.8389
2018-10-25,30.8689,-1668402.0523,14.1580,32.7882,29.9987
2018-10-24,31.0777,-2067039.5444,18.6916,32.8290,30.1315
2018-10-23,31.2890,-793496.4344,22.6794,32.8611,30.2456
2018-10-22,31.4482,-2267396.2314,20.7165,32.9019,30.3609
2018-10-19,31.5692,-658823.6313,14.2450,32.9160,30.4803
2018-10-18,31.7030,-3061802.3513,4.0803,32.9409,30.6599
2018-10-17,31.8131,-2900941.1904,-2.2222,32.9702,30.8689
2018-10-16,31.9141,-3820384.3682,-14.2662,32.9988,31.0915
2018-10-15,31.9977,-5218937.8322,-21.5576,33.0300,31.3188
2018-10-12,32.0575,-5363553.2461,-37.0188,33.0630,31.5341
2018-10-11,32.0953,-5509096.6677,305.9121,33.0944,31.7266
2018-10-10,32.1133,-4184513.9096,286.9540,33.1226,31.8983
2018-10-09,32.1186,-2995506.7551,267.8396,33.1412,32.0594
2018-10-08,32.1350,-3505197.1537,249.4561,33.1613,32.2272
2018-10-05,32.1486,-4208078.4152,237.0139,33.1820,32.3939
2018-10-04,32.1593,-4161845.0392,228.8930,33.1981,32.5565
2018-10-03,32.1673,-4494758.4667,219.9199,33.2121,32.7191
2018-10-02,32.1769,-5269797.0132,207.1130,33.2286,32.8727
2018-10-01,32.2001,-5835408.8725,194.5161,33.2473,32.9950
2018-09-28,32.2251,-5986323.6719,183.7102,33.2675,33.0642
2018-09-27,32.2301,-5090812.3921,174.7001,33.2860,33.0659
2018-09-26,32.2037,-3776134.3966,167.8766,33.3002,33.0000
2018-09-25,32.1367,-2738729.2084,163.3037,33.3076,32.8810
2018-09-24,32.0285,-2711346.5976,164.8541,33.3090,32.7333
2018-09-21,31.9044,-1422676.2892,172.8200,33.3079,32.5798
2018-09-20,31.7602,631342.4635,187.9341,33.3048,32.4361
2018-09-19,31.6196,365764.1794,202.1421,33.3023,32.3129
2018-09-18,31.4817,-586012.1038,211.2566,33.3049,32.2100
2018-09-17,31.3501,-1598937.7783,213.4794,33.3120,32.1165
2018-09-14,31.2611,-1073568.8652,214.9356,33.3184,32.0251
2018-09-13,31.1591,-1309061.8043,212.8037,33.3287,31.9379
2018-09-12,31.0775,-203481.3314,208.6630,33.3386,31.8486
2018-09-11,31.0163,84733.8730,207.8660,33.3481,31.7596
2018-09-10,30.9522,-171456.9863,205.7897,33.3614,31.6687
2018-09-07,30.8745,492823.3370,197.8794,33.3778,31.5639
2018-09-06,30.7975,1713634.1293,190.3143,33.3940,31.4379
2018-09-05,30.7200,2240904.2039,186.7797,33.4093,31.2925
2018-09-04,30.6290,2268920.4084,179.2624,33.4245,31.1296
2018-08-31,30.5410,927196.5743,172.1412,33.4431,30.9476
