DATE,SMA,EMA,MACD,RSI,ADX,CCI,WMA,TRIX,MINUS_DI,PLUS_DI,HT_TRENDLINE,ADOSC,HT_DCPHASE,MAMA,T3
2019-02-15,202.513,202.8919,3.2885,71.2126,27.6332,106.461,203.8289,0.3105,16.7584,39.3024,196.8117,3595929.008,184.6666,202.4037,202.2217
2019-02-14,202.016,202.0989,3.1148,71.7783,26.2353,82.8722,203.0209,0.2948,18.6638,38.5645,196.2872,3516062.7997,181.882,202.3627,201.3439
2019-02-13,201.237,201.1009,2.8345,73.8077,25.2866,213.9729,202.0476,0.2763,14.2813,45.0317,195.8538,3980016.4256,182.2952,202.32,200.509
2019-02-12,200.35,199.77,2.3845,66.6441,22.3357,236.9342,200.8222,0.2597,15.9025,39.4436,195.4609,3489654.2117,181.8872,202.2719,199.746
2019-02-11,199.56400000000002,199.0811,2.2052,62.388000000000005,20.0914,61.2344,200.2211,0.2554,18.8611,29.0953,195.1286,2999610.9904,175.2719,202.2658,199.0459
2019-02-08,198.785,198.6703,2.1419,58.152,19.9526,14.499,199.8311,0.2537,19.7378,26.4249,194.892,2980098.3973,176.1362,202.2793,198.2986
2019-02-07,198.335,198.5481,2.2039,65.0976,20.56,60.3912,199.6702,0.2486,18.1245,27.8831,194.523,3009637.9861,172.807,202.3102,197.4586
2019-02-06,197.459,197.9988,2.0678,65.8845,20.4877,111.15100000000001,199.0227,0.2315,16.0943,30.7971,194.0295,3507496.1514,165.4439,202.3232,196.5216
2019-02-05,196.6,197.283,1.8436,64.9307,19.2802,95.7949,198.1827,0.2082,17.3365,27.855999999999998,193.5282,3271420.1548,157.4188,202.3344,195.5627
2019-02-04,195.95,196.5192,1.5815,61.6286,18.8361,72.5261,197.3155,0.1811,17.9556,26.6391,192.9604,2799306.182,150.6098,202.3507,194.6203
2019-02-01,195.483,195.9657,1.3982,70.2644,18.7655,110.365,196.6742,0.1509,14.6305,29.33,192.3221,2584866.3273,151.9931,202.3844,193.7192
2019-01-31,194.19,194.7381,0.8913,65.5522,17.1352,135.2056,195.3469,0.1124,15.8837,29.6763,191.7619,2982986.4079,157.2119,202.3935,192.8837
2019-01-30,193.16099999999997,193.8355,0.5052,64.4592,15.6754,128.8489,194.3216,0.0809,17.0751,30.0449,191.2537,2422405.181,165.8822,202.4298,192.1949
2019-01-29,192.22299999999998,192.8612,0.0641,57.7883,14.3587,149.0233,193.2313,0.053,19.3475,33.509,190.7465,2137628.959,180.4979,202.4723,191.6132
2019-01-28,191.78599999999997,192.3836,-0.1729,53.1808,12.9772,19.7186,192.6451,0.0337,22.6609,22.761999999999997,190.1969,2135830.5626,218.1456,202.5477,191.1208
2019-01-25,191.65599999999998,192.2155,-0.2825,57.9945,14.3944,170.80200000000002,192.3753,0.0157,16.7101,25.6121,189.6929,1544839.8562,225.3071,202.6427,190.6487
2019-01-24,191.271,191.65900000000002,-0.5792,51.8928,13.6567,39.7002,191.7482,-0.0077,18.7387,18.2689,189.3606,1696484.3313,220.8297,202.7227,190.1803
2019-01-23,191.37,191.5255,-0.6990000000000001,52.9336,15.0331,26.5381,191.5864,-0.0279,19.4986,19.0098,189.2389,1810491.1893,208.2266,202.8284,189.7559
2019-01-22,191.407,191.28,-0.8794,57.3852,16.5624,41.6224,191.364,-0.0532,20.8712,20.711,189.271,1958372.9321,191.6258,202.9314,189.3459
2019-01-18,191.12099999999998,190.6267,-1.2587,57.7149,18.3598,188.2309,190.8005,-0.08199999999999999,18.9194,23.4663,189.5156,1989937.3852,168.4884,203.0194,188.9913
2019-01-17,190.362,189.8015,-1.7368,43.6912,19.2078,-10.3717,190.0773,-0.10400000000000001,21.1015,17.5654,189.9167,1417257.3573,142.8652,203.1071,188.7294
2019-01-16,190.334,190.0774,-1.7332,43.5455,20.3259,-38.7594,190.3998,-0.1105,23.7304,13.6305,190.6085,1267597.6718,102.9502,203.254,188.512
2019-01-15,190.265,190.4257,-1.6984,44.2255,19.5807,-51.1279,190.7189,-0.1219,24.8551,14.2766,191.2057,1427314.432,87.0194,203.403,188.1957
2019-01-14,190.415,190.778,-1.6628,47.8976,18.7526,47.2403,191.0053,-0.1419,22.8368,15.7061,191.784,1596508.6408,73.054,203.5501,187.7903
2019-01-11,190.532,190.8087,-1.7765,50.4089,18.7806,70.9459,190.9856,-0.1738,22.0153,16.7684,192.276,1159285.102,53.6949,203.6805,187.3419
2019-01-10,189.69799999999998,190.5795,-2.0179,48.4423,19.3642,100.2736,190.5962,-0.2134,23.2978,17.7452,192.5391,673223.1441,43.5879,203.8001,186.9408
2019-01-09,188.549,190.515,-2.198,53.0915,20.0126,104.7029,190.1742,-0.2562,21.3037,19.3806,192.7288,208176.49,34.8157,203.9307,186.6648
2019-01-08,187.41299999999998,189.9072,-2.6381,52.662,21.711,86.4875,189.1129,-0.3056,22.3807,20.3604,192.9591,389838.8932,32.1444,204.0385,186.5699
2019-01-07,186.899,189.2199,-3.1361,49.9568,23.5981,75.67399999999999,188.0036,-0.3489,24.3416,18.6435,193.5886,272588.6176,23.7847,204.15,186.7657
2019-01-04,186.674,188.7443,-3.5591,41.4988,24.7472,67.4501,187.1516,-0.379,25.9883,19.31,194.3581,-215101.4316,17.6721,204.2792,187.2724
2019-01-03,187.59900000000002,189.1875,-3.5779,43.7052,25.8588,-51.9472,187.30599999999998,-0.3937,30.131,15.2129,195.0696,-989832.6867,11.7231,204.4563,188.0533
2019-01-02,188.11,189.3892,-3.7055,42.8835,25.0764,26.4537,187.2751,-0.4079,27.3252,17.7032,195.4829,-850965.7774,6.5888,204.6197,189.0424
2018-12-31,188.912,189.7379,-3.7678,46.2091,25.4884,26.7933,187.4736,-0.4147,26.0801,19.2096,196.0168,-2091180.3386,0.8296,204.7894,190.303
2018-12-28,189.89,189.6041,-4.0489999999999995,48.1702,26.6349,8.4804,187.3918,-0.4139,27.5016,20.3542,196.7378,-2768859.3148,-7.6819,204.9353,191.852
